,Address,Price,City,Bedrooms,Living-Area,Total-Bathrooms,Home-Type,Distance,Duration
52,"202 Peppermint Tree Ter UNIT 2, Sunnyvale, CA 94086",1099000,Sunnyvale,2,1251.0,3, Townhouse,28.3,32 mins
53,"1120 Karby Ter UNIT 102, Sunnyvale, CA 94089",949000,Sunnyvale,2,1007.0,2, Townhouse,27.2,27 mins
54,"574 Leyte Ter, Sunnyvale, CA 94089",1349000,Sunnyvale,3,1600.0,3, Townhouse,27.0,27 mins
55,"831 W California Ave UNIT R, Sunnyvale, CA 94086",699800,Sunnyvale,2,760.0,2, Condo,26.2,27 mins
56,"989 Asilomar Ter APT 6, Sunnyvale, CA 94086",1399000,Sunnyvale,3,1895.0,2, Townhouse,26.3,29 mins
57,"1212 Oak Knoll Dr, Concord, CA 94521",1065000,Concord,5,2923.0,3, Single Family,40.8,48 mins
58,"952 Autumn Oak Cir, Concord, CA 94521",1150000,Concord,5,3168.0,4, Single Family,42.0,50 mins
59,"4336 Saint Charles Pl, Concord, CA 94521",499900,Concord,3,1182.0,2, Townhouse,40.4,45 mins
60,"5455 Kirkwood Dr APT B8, Concord, CA 94521",275000,Concord,1,696.0,1, Condo,43.3,52 mins
61,"825 Oak Grove Rd APT 98, Concord, CA 94518",499000,Concord,3,1447.0,2, Condo,38.6,41 mins
62,"3309 Benton St, Santa Clara, CA 95051",1150000,Santa Clara,3,1325.0,2, Condo,31.1,32 mins
63,"2980 Salem Dr, Santa Clara, CA 95051",1124888,Santa Clara,3,1630.0,3, Townhouse,32.3,36 mins
64,"3033 Kaiser Dr UNIT H, Santa Clara, CA 95051",495000,Santa Clara,1,680.0,1, Condo,33.0,37 mins
65,"2380 Homestead Rd UNIT 3103, Santa Clara, CA 95050",499000,Santa Clara,1,624.0,1, Condo,32.6,34 mins
66,"4942 Calle De Escuela, Santa Clara, CA 95054",699800,Santa Clara,2,1108.0,2, Townhouse,30.0,30 mins
67,"1903 Miraplaza Ct APT 16, Santa Clara, CA 95051",799950,Santa Clara,2,1041.0,2, Condo,30.0,32 mins
68,"470 N Winchester Blvd APT 404, Santa Clara, CA 95050",699888,Santa Clara,3,1284.0,2, Townhouse,33.8,36 mins
69,"980 Kiely Blvd UNIT 324, Santa Clara, CA 95051",389888,Santa Clara,1,622.0,1, Condo,32.8,35 mins
70,"801 Woodhams Oaks Pl, Santa Clara, CA 95051",874999,Santa Clara,2,893.0,3, Townhouse,32.1,35 mins
71,"5080 Plaza Corona, Santa Clara, CA 95054",799900,Santa Clara,3,1240.0,2, Townhouse,30.2,31 mins
72,"1555 Farmer Pl, Santa Clara, CA 95051",1499000,Santa Clara,4,1993.0,4, Single Family,30.5,33 mins
73,"173 Saratoga Ave, Santa Clara, CA 95050",1199000,Santa Clara,3,1855.0,3, Townhouse,33.5,36 mins
74,"934 Kiely Blvd UNIT F, Santa Clara, CA 95051",399000,Santa Clara,1,440.0,1, Condo,32.8,35 mins
75,"4519 Laird Cir, Santa Clara, CA 95054",1299800,Santa Clara,3,1700.0,3, Townhouse,31.4,32 mins
76,"2110 Rancho Mccormick Blvd, Santa Clara, CA 95050",1195000,Santa Clara,3,1636.0,3, Townhouse,31.2,32 mins
77,"470 N Winchester Blvd APT 104, Santa Clara, CA 95050",695000,Santa Clara,3,1284.0,2, Townhouse,33.8,36 mins
78,"1883 Agnew Rd UNIT 436, Santa Clara, CA 95054",899800,Santa Clara,3,1361.0,2, Condo,30.4,30 mins
79,"2815 Newhall St, Santa Clara, CA 95050",850000,Santa Clara,2,1267.0,2, Condo,32.7,35 mins
80,"1120 Pomeroy Ave, Santa Clara, CA 95051",819000,Santa Clara,2,947.0,1, Condo,31.4,34 mins
81,"831 Pomeroy Ave UNIT 3, Santa Clara, CA 95051",679000,Santa Clara,2,954.0,2, Condo,31.6,34 mins
82,"8368 Bennington Ct, Vallejo, CA 94591",540000,Vallejo,4,2026.0,3, Single Family,47.5,47 mins
83,"493 Lighthouse Dr, Vallejo, CA 94590",325000,Vallejo,3,1058.0,2, Condo,43.4,47 mins
84,"37 Werden St, Vallejo, CA 94590",249000,Vallejo,3,988.0,2, Condo,43.9,47 mins
85,"108 Camino Del Sol, Vallejo, CA 94591",674000,Vallejo,4,2306.0,3, Single Family,43.1,44 mins
86,"197 Lighthouse Dr, Vallejo, CA 94590",239900,Vallejo,1,718.0,1, Condo,43.3,46 mins
87,"248 Boulder Dr, Vallejo, CA 94589",290000,Vallejo,2,1248.0,2, Single Family,45.6,47 mins
88,"1583 Arch St, Berkeley, CA 94708",829000,Berkeley,2,1132.0,2, Condo,24.5,33 mins
89,"3154 College Ave APT 4, Berkeley, CA 94705",775000,Berkeley,1,940.0,1, Condo,22.5,25 mins
90,"9 Greenwood Cmn, Berkeley, CA 94708",1595000,Berkeley,3,1671.0,2, Single Family,25.0,35 mins
91,"1801 University Ave UNIT 202, Berkeley, CA 94703",575000,Berkeley,2,600.0,1, Condo,23.5,28 mins
92,"2649 San Pablo Ave APT 3, Berkeley, CA 94702",589000,Berkeley,3,1100.0,2, Condo,21.9,25 mins
93,"1104 Woodside Rd, Berkeley, CA 94708",1699000,Berkeley,5,3572.0,4, Single Family,27.0,37 mins
94,"2804 Hillegass Ave 2, Berkeley, CA 94705",898000,Berkeley,2,1006.0,1, Condo,23.2,27 mins
95,"4118 Rowland Dr, Fairfield, CA 94533",665000,Fairfield,5,2647.0,3, Single Family,60.8,1 hour 0 mins
96,"3269 Inwood Pl, Fairfield, CA 94534",510000,Fairfield,2,1409.0,2, Single Family,59.3,1 hour 1 min
97,"4109 Cedar Creek Ct, Fairfield, CA 94534",526000,Fairfield,3,1783.0,2, Single Family,52.5,53 mins
98,"3553 Tidewater Pl, Fairfield, CA 94533",525000,Fairfield,4,2012.0,3, Single Family,60.0,58 mins
99,"2430 Bay Hill Dr, Fairfield, CA 94534",599000,Fairfield,3,1635.0,2, Single Family,57.7,58 mins
100,"3349 Pebble Beach Ct, Fairfield, CA 94534",1149000,Fairfield,5,4523.0,5, Single Family,58.4,59 mins
101,"4217 Duke Ct, Fairfield, CA 94534",615000,Fairfield,4,2380.0,3, Single Family,52.5,53 mins
102,"4256 Farleigh Ct, Fairfield, CA 94534",579000,Fairfield,3,2364.0,3, Single Family,52.4,52 mins
103,"822 Bridle Ridge Dr, Fairfield, CA 94534",918000,Fairfield,4,3499.0,3, Single Family,52.7,54 mins
104,"55 Villa Cir, Fairfield, CA 94533",175000,Fairfield,2,968.0,2, Condo,60.2,1 hour 1 min
