,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
128,"169 Rabbit Ct, Fremont, CA 94539",Fremont,94539,CA,3,1389000,"TIMOTHY CROFTON, INC.",80.0,1342398,https://www.zillow.com/homedetails/169-Rabbit-Ct-Fremont-CA-94539/25030468_zpid/,1728.0,3, 2, Single Family,1989,Unknown,70.21,14045.0,1153844.0
130,"49002 Cinnamon Fern Cmn UNIT 312, Fremont, CA 94539",Fremont,94539,CA,3,430647,LEGACY REAL ESTATE & ASSOC.,385.0,436395,https://www.zillow.com/homedetails/49002-Cinnamon-Fern-Cmn-UNIT-312-Fremont-CA-94539/94687035_zpid/,1382.0,2, 1, Condo,2009,Unknown,86.96,4814.0,373280.0
131,"35935 Killorglin Cmn, Fremont, CA 94536",Fremont,94536,CA,3,1100000,INTERO REAL ESTATE SERVICES,66.0,1134504,https://www.zillow.com/homedetails/35935-Killorglin-Cmn-Fremont-CA-94536/25020590_zpid/,1460.0,3, 2, Single Family,1989,Unknown,87.41,5424.0,417376.0
133,"34246 Trampini Cmn 78, Fremont, CA 94555",Fremont,94555,CA,4,1249800,PURE HOMES,175.0,1279468,https://www.zillow.com/homedetails/34246-Trampini-Cmn-78-Fremont-CA-94555/25059458_zpid/,2086.0,3, 0, Townhouse,1992, Public Utilities,91.56,13932.0,1152600.0
137,"38646 Aurora Ter, Fremont, CA 94536",Fremont,94536,CA,2,618000,INTERO REAL ESTATE SERVICES,457.0,625928,https://www.zillow.com/homedetails/38646-Aurora-Ter-Fremont-CA-94536/25018324_zpid/,1123.0,2, 1, Townhouse,1980,Unknown,91.69,5040.0,391880.0
138,"2491 Corriea Way, Fremont, CA 94539",Fremont,94539,CA,3,1289900,CHARLES RODERICK BALDWIN,40.0,1323250,https://www.zillow.com/homedetails/2491-Corriea-Way-Fremont-CA-94539/25032014_zpid/,1306.0,3, 2, Single Family,1972,Unknown,87.01,9731.0,785097.0
147,"34122 Asti Ter, Fremont, CA 94555",Fremont,94555,CA,3,1024998,STAR REALTY,235.0,1048392,https://www.zillow.com/homedetails/34122-Asti-Ter-Fremont-CA-94555/152937189_zpid/,1701.0,4, 2, Townhouse,2013,Unknown,93.96,8467.0,675713.0
152,"3924 Match Point Ave, Santa Rosa, CA 95407",Santa Rosa,95407,CA,3,559000,CENTURY 21,61.0,564751,https://www.zillow.com/homedetails/3924-Match-Point-Ave-Santa-Rosa-CA-95407/15782055_zpid/,1617.0,3, 2, Single Family,1998,Unknown,93.5,6103.0,546210.0
153,"2260 Knolls Hills Cir, Santa Rosa, CA 95405",Santa Rosa,95405,CA,3,535000,CORCORAN GLOBAL LIVING,296.0,535878,https://www.zillow.com/homedetails/2260-Knolls-Hills-Cir-Santa-Rosa-CA-95405/15845399_zpid/,1633.0,2,0, Condo,1979,Unknown,93.87,3794.0,342061.0
156,"790 Shiloh Cyn, Santa Rosa, CA 95403",Santa Rosa,95403,CA,5,4695000,STERLING CALIFORNIA PROPERTIES,295.0,11000,https://www.zillow.com/homedetails/790-Shiloh-Cyn-Santa-Rosa-CA-95403/96059371_zpid/,6874.0,5, 5, Single Family,2010,Unknown,87.41,47328.0,3956480.0
163,"6453 Meadowridge Dr, Santa Rosa, CA 95409",Santa Rosa,95409,CA,3,849000,W REAL ESTATE,110.0,620456,https://www.zillow.com/homedetails/6453-Meadowridge-Dr-Santa-Rosa-CA-95409/15766656_zpid/,1800.0,2, 2, Single Family,1978,Unknown,87.41,7020.0,626391.0
164,"1712 Las Raposas Ct, Santa Rosa, CA 95409",Santa Rosa,95409,CA,3,385000,KELLER WILLIAMS,387.0,359797,https://www.zillow.com/homedetails/1712-Las-Raposas-Ct-Santa-Rosa-CA-95409/15870803_zpid/,1220.0,2,0, Condo,1973,Unknown,86.79,4307.0,343000.0
165,"2408 Lakeview Dr, Santa Rosa, CA 95405",Santa Rosa,95405,CA,3,480000,NEXTHOME,264.0,480004,https://www.zillow.com/homedetails/2408-Lakeview-Dr-Santa-Rosa-CA-95405/15845522_zpid/,1309.0,2, 1, Condo,1980,Unknown,87.41,5371.0,485866.0
173,"1344 Woodhaven Dr, Santa Rosa, CA 95407",Santa Rosa,95407,CA,3,519000,CENTURY 21,43.0,519792,https://www.zillow.com/homedetails/1344-Woodhaven-Dr-Santa-Rosa-CA-95407/59722778_zpid/,1245.0,3, 2, Single Family,2003,Unknown,94.3,4743.0,436804.0
184,"2719 Spindrift Ct, Hayward, CA 94545",Hayward,94545,CA,5,1399999,INTERO REAL ESTATE SERVICES,42.0,1440874,https://www.zillow.com/homedetails/2719-Spindrift-Ct-Hayward-CA-94545/63084280_zpid/,3651.0,3, 2, Single Family,2003,Unknown,91.54,18232.0,1407600.0
190,"2514 Admiral Cir, Hayward, CA 94545",Hayward,94545,CA,3,965000,EVERHOME,218.0,925266,https://www.zillow.com/homedetails/2514-Admiral-Cir-Hayward-CA-94545/241574983_zpid/,2047.0,3, 2, Single Family,2016,Unknown,89.14,12033.0,891830.0
