,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
825,"2664 Celaya Cir, San Ramon, CA 94583",San Ramon,94583,CA,4,1295000,EDGE REAL ESTATE COMPANY,25.0,1350844,https://www.zillow.com/homedetails/2664-Celaya-Cir-San-Ramon-CA-94583/18441591_zpid/,2586.0,3, 3, Single Family,1978,Unknown,79.41,10658.0,881766.0
827,"1321 Bayberry View Ln, San Ramon, CA 94582",San Ramon,94582,CA,4,1358000,"RINETTI & CO., REALTORS®",90.0,1373121,https://www.zillow.com/homedetails/1321-Bayberry-View-Ln-San-Ramon-CA-94582/122010986_zpid/,2501.0,4, 2, Single Family,2015,Unknown,93.21,16554.0,1251799.0
828,"1337 Bayberry View Ln, San Ramon, CA 94582",San Ramon,94582,CA,4,1359000,REALTY,96.0,1374402,https://www.zillow.com/homedetails/1337-Bayberry-View-Ln-San-Ramon-CA-94582/122009475_zpid/,2906.0,5, 2, Single Family,2015,Unknown,94.81,17384.0,1326296.0
830,"4908 Ivyleaf Springs Rd, San Ramon, CA 94582",San Ramon,94582,CA,3,774900,KELLER WILLIAMS,230.0,775162,https://www.zillow.com/homedetails/4908-Ivyleaf-Springs-Rd-San-Ramon-CA-94582/111376937_zpid/,1730.0,3, 2, Condo,2010,Unknown,94.81,10121.0,694913.0
832,"9005 Alcosta Blvd APT 202, San Ramon, CA 94583",San Ramon,94583,CA,2,468000,COLDWELL BANKER,583.0,468003,https://www.zillow.com/homedetails/9005-Alcosta-Blvd-APT-202-San-Ramon-CA-94583/18445909_zpid/,1248.0,3, 1, Townhouse,1971,Unknown,87.41,2403.0,191411.0
833,"341 Goldfield Pl, San Ramon, CA 94582",San Ramon,94582,CA,4,1365000,MACROREAL UNITED,99.0,1380348,https://www.zillow.com/homedetails/341-Goldfield-Pl-San-Ramon-CA-94582/241642378_zpid/,2534.0,3, 2, Single Family,2016,Unknown,87.41,15867.0,1190529.0
834,"1146 S Chanterella Dr, San Ramon, CA 94582",San Ramon,94582,CA,4,1350000,RE/MAX,40.0,1364696,https://www.zillow.com/homedetails/1146-S-Chanterella-Dr-San-Ramon-CA-94582/50918988_zpid/,2225.0,3, 2, Single Family,2001,Unknown,76.41,13116.0,959268.0
836,"451 Donner Way, San Ramon, CA 94582",San Ramon,94582,CA,4,1199888,VALLEY BROKERS ON MAIN,225.0,1227669,https://www.zillow.com/homedetails/451-Donner-Way-San-Ramon-CA-94582/18455301_zpid/,2608.0,3, 2, Single Family,1988,Unknown,76.41,6810.0,494559.0
837,"40 Terraced Hills Cir, San Ramon, CA 94583",San Ramon,94583,CA,3,979000,REAL ESTATE EBROKER,89.0,989234,https://www.zillow.com/homedetails/40-Terraced-Hills-Cir-San-Ramon-CA-94583/54627925_zpid/,1675.0,3,0, Single Family,1999," Individual Electric Meters, Public Utilities, Individual Gas Meters",82.61,8395.0,668637.0
839,"6008 Lakeview Cir, San Ramon, CA 94582",San Ramon,94582,CA,4,1135000,J ROCKCLIFF REALTORS.,225.0,1135007,https://www.zillow.com/homedetails/6008-Lakeview-Cir-San-Ramon-CA-94582/18455289_zpid/,2608.0,3, 2, Single Family,1989,Unknown,77.21,10307.0,827926.0
840,"390 S Overlook Dr, San Ramon, CA 94582",San Ramon,94582,CA,2,615000,J ROCKCLIFF REALTORS.,538.0,615004,https://www.zillow.com/homedetails/390-S-Overlook-Dr-San-Ramon-CA-94582/68042860_zpid/,1079.0,2, 1, Condo,1988,Unknown,89.21,7370.0,572220.0
841,"174 Copper Ridge Rd, San Ramon, CA 94582",San Ramon,94582,CA,2,610000,COLDWELL BANKER,479.0,610005,https://www.zillow.com/homedetails/174-Copper-Ridge-Rd-San-Ramon-CA-94582/68042661_zpid/,1079.0,2,0, Condo,1988,Unknown,86.81,7102.0,541215.0
843,"3471 Ashbourne Cir, San Ramon, CA 94583",San Ramon,94583,CA,5,2350000,LENNAR,173.0,2179227,https://www.zillow.com/homedetails/3471-Ashbourne-Cir-San-Ramon-CA-94583/68041684_zpid/,5312.0,6, 3, Single Family,2005,Unknown,81.01,21436.0,1768680.0
844,"3336 Ironwood Dr, San Ramon, CA 94582",San Ramon,94582,CA,4,1749000,KELLER WILLIAMS,19.0,1769416,https://www.zillow.com/homedetails/3336-Ironwood-Dr-San-Ramon-CA-94582/122009231_zpid/,3243.0,4, 2, Single Family,2015,Unknown,77.21,20109.0,1570587.0
845,"7648 Stoneleaf Rd, San Ramon, CA 94582",San Ramon,94582,CA,3,869000,LENNAR,230.0,869008,https://www.zillow.com/homedetails/7648-Stoneleaf-Rd-San-Ramon-CA-94582/95382684_zpid/,2228.0,3, 2, Condo,2009,Unknown,92.41,9468.0,636423.0
849,"1151 Mataro Ct, Pleasanton, CA 94566",Pleasanton,94566,CA,4,1449000,KELLER WILLIAMS,140.0,1461125,https://www.zillow.com/homedetails/1151-Mataro-Ct-Pleasanton-CA-94566/25083389_zpid/,2451.0,3, 3, Single Family,1986,Unknown,80.37,15859.0,1352520.0
850,"3759 Rose Rock Cir, Pleasanton, CA 94588",Pleasanton,94588,CA,4,1099000,EAGLE REAL ESTATE SERVICES,218.0,1107898,https://www.zillow.com/homedetails/3759-Rose-Rock-Cir-Pleasanton-CA-94588/25074099_zpid/,2337.0,3, 2, Single Family,1993,Unknown,83.37,4585.0,385723.0
853,"665 Palomino Dr A, Pleasanton, CA 94566",Pleasanton,94566,CA,2,605000,J ROCKCLIFF REALTORS,440.0,660871,https://www.zillow.com/homedetails/665-Palomino-Dr-A-Pleasanton-CA-94566/25077031_zpid/,1198.0,2, 1, Townhouse,1985,Unknown,90.77,4650.0,398253.0
855,"3024 Bolero Ct, Pleasanton, CA 94588",Pleasanton,94588,CA,4,965000,VILLAGE ASSOCIATES REAL ESTATE,295.0,971210,https://www.zillow.com/homedetails/3024-Bolero-Ct-Pleasanton-CA-94588/25072829_zpid/,1928.0,3, 2, Townhouse,1994,Unknown,94.57,4333.0,371123.0
858,"8080 Canyon Creek Cir, Pleasanton, CA 94588",Pleasanton,94588,CA,3,999000,COMPASS,108.0,1006455,https://www.zillow.com/homedetails/8080-Canyon-Creek-Cir-Pleasanton-CA-94588/25068940_zpid/,1650.0,3, 2, Single Family,1996,Unknown,84.92,9121.0,774724.0
860,"7710 Creekside Dr, Pleasanton, CA 94588",Pleasanton,94588,CA,3,889000,LEGACY REAL ESTATE & ASSOC,415.0,895512,https://www.zillow.com/homedetails/7710-Creekside-Dr-Pleasanton-CA-94588/25071340_zpid/,1828.0,3, 2, Townhouse,1991,Unknown,89.72,8801.0,754290.0
861,"7308 Stonedale Dr, Pleasanton, CA 94588",Pleasanton,94588,CA,3,799000,LEGEND RE & FINANCE,470.0,819006,https://www.zillow.com/homedetails/7308-Stonedale-Dr-Pleasanton-CA-94588/25067738_zpid/,1525.0,2, 2, Townhouse,1987,Unknown,76.92,8297.0,711004.0
862,"7904 Kemper Ct, Pleasanton, CA 94588",Pleasanton,94588,CA,4,1480000,VENTURE SOTHEBY'S INTL RLTY,380.0,1561959,https://www.zillow.com/homedetails/7904-Kemper-Ct-Pleasanton-CA-94588/25081796_zpid/,3021.0,3, 2, Single Family,1991,Unknown,78.52,12118.0,1038724.0
863,"4837 Saginaw Cir, Pleasanton, CA 94588",Pleasanton,94588,CA,3,668000,OWN SWEET HOME REALTY,292.0,684323,https://www.zillow.com/homedetails/4837-Saginaw-Cir-Pleasanton-CA-94588/25078013_zpid/,1130.0,2, 0, Townhouse,1973,Unknown,89.77,5659.0,484820.0
864,"5764 Belleza Dr, Pleasanton, CA 94588",Pleasanton,94588,CA,4,900000,COMPASS,295.0,900006,https://www.zillow.com/homedetails/5764-Belleza-Dr-Pleasanton-CA-94588/25072902_zpid/,1928.0,3, 2, Townhouse,1995,Unknown,95.37,4413.0,377930.0
867,"4132 Parma Ct, Pleasanton, CA 94566",Pleasanton,94566,CA,5,4988000,KELLER WILLIAMS,240.0,4994553,https://www.zillow.com/homedetails/4132-Parma-Ct-Pleasanton-CA-94566/111405450_zpid/,8363.0,7, 4, Single Family,2011,Unknown,81.17,50616.0,4340100.0
868,"3857 Vine St, Pleasanton, CA 94566",Pleasanton,94566,CA,2,675000,COMPASS,379.0,675094,https://www.zillow.com/homedetails/3857-Vine-St-Pleasanton-CA-94566/24931236_zpid/,1221.0,3, 1, Townhouse,1984,Unknown,90.77,4926.0,421937.0
870,"2281 Doccia Ct, Pleasanton, CA 94566",Pleasanton,94566,CA,5,1928000,BETTER HOMES,240.0,1981220,https://www.zillow.com/homedetails/2281-Doccia-Ct-Pleasanton-CA-94566/25087481_zpid/,3396.0,3, 2, Single Family,1997,Unknown,73.17,15446.0,1324128.0
871,"118 Barias Pl, Pleasanton, CA 94566",Pleasanton,94566,CA,3,1169000,RE/MAX,195.0,1149829,https://www.zillow.com/homedetails/118-Barias-Pl-Pleasanton-CA-94566/241575962_zpid/,1766.0,3, 2, Single Family,2018,Unknown,87.41,10460.0,890088.0
872,"7887 Medinah Ct, Pleasanton, CA 94588",Pleasanton,94588,CA,4,1495000,VENTURE SOTHEBY'S INTL RLTY,380.0,1500865,https://www.zillow.com/homedetails/7887-Medinah-Ct-Pleasanton-CA-94588/25081830_zpid/,3021.0,3, 2, Single Family,1994,Unknown,80.92,7272.0,623156.0
873,"5144 Angelico Ct, Pleasanton, CA 94588",Pleasanton,94588,CA,3,989000,BERKSHIRE HATHAWAY,190.0,1000814,https://www.zillow.com/homedetails/5144-Angelico-Ct-Pleasanton-CA-94588/25073395_zpid/,1482.0,3, 2, Single Family,1997,Unknown,82.57,5627.0,482020.0
874,"2329 Silver Oaks Ln, Pleasanton, CA 94566",Pleasanton,94566,CA,4,2825000,VENTURE SOTHEBY'S INTL RLTY,237.0,2825024,https://www.zillow.com/homedetails/2329-Silver-Oaks-Ln-Pleasanton-CA-94566/163651237_zpid/,4106.0,5, 4, Single Family,2017,Unknown,87.41,26562.0,2277386.0
875,"2873 Brezza Ct, Pleasanton, CA 94566",Pleasanton,94566,CA,5,4995000,FOUNDATION REAL ESTATE,225.0,4999129,https://www.zillow.com/homedetails/2873-Brezza-Ct-Pleasanton-CA-94566/68020947_zpid/,8300.0,6, 12, Single Family,2006,Unknown,87.41,45340.0,3880691.0
877,"5507 Baldwin Way, Pleasanton, CA 94588",Pleasanton,94588,CA,2,799000,SMART REALTY,415.0,816229,https://www.zillow.com/homedetails/5507-Baldwin-Way-Pleasanton-CA-94588/25071285_zpid/,1501.0,3,0, Townhouse,1991," Individual Electric Meters, Public Utilities",84.92,8587.0,728868.0
879,"1808 Zenato Pl, Pleasanton, CA 94566",Pleasanton,94566,CA,5,3125000,VENTURE SOTHEBY'S INTL RLTY,240.0,2801487,https://www.zillow.com/homedetails/1808-Zenato-Pl-Pleasanton-CA-94566/25087179_zpid/,5643.0,6, 4, Single Family,1998,Unknown,79.57,27352.0,2345097.0
881,"7365 Stonedale Dr, Pleasanton, CA 94588",Pleasanton,94588,CA,2,725000,VENTURE SOTHEBY'S INTL RLTY,350.0,732270,https://www.zillow.com/homedetails/7365-Stonedale-Dr-Pleasanton-CA-94588/25071256_zpid/,1502.0,3, 2, Townhouse,1989,Unknown,92.92,8253.0,700296.0
883,"5331 Black Ave APT 1, Pleasanton, CA 94566",Pleasanton,94566,CA,3,825000,NATALIA LITUNOVSKAIA - BROKER,400.0,808585,https://www.zillow.com/homedetails/5331-Black-Ave-APT-1-Pleasanton-CA-94566/25082696_zpid/,1690.0,3, 2, Townhouse,1982,Unknown,77.17,9376.0,717875.0
885,"1604 Lexington Ln, Pleasanton, CA 94566",Pleasanton,94566,CA,4,1289000,COMPASS,271.0,1290172,https://www.zillow.com/homedetails/1604-Lexington-Ln-Pleasanton-CA-94566/124734832_zpid/,2844.0,4, 2, Single Family,2016, Public Utilities,87.41,15547.0,1325795.0
887,"4449 Alamo St, Union City, CA 94587",Union City,94587,CA,3,629000,INTERO REAL ESTATE SERVICES,254.0,646922,https://www.zillow.com/homedetails/4449-Alamo-St-Union-City-CA-94587/24999168_zpid/,1298.0,2,0, Townhouse,1971, Public Utilities,93.08,8858.0,612000.0
888,"32060 Paloma Ct, Union City, CA 94587",Union City,94587,CA,2,579800,COLDWELL BANKER,290.0,589544,https://www.zillow.com/homedetails/32060-Paloma-Ct-Union-City-CA-94587/24998716_zpid/,1126.0,3,0, Townhouse,1982, Public Utilities,89.08,7219.0,488987.0
891,"34776 Rumford Ter, Union City, CA 94587",Union City,94587,CA,3,850000,RE/MAX,240.0,871565,https://www.zillow.com/homedetails/34776-Rumford-Ter-Union-City-CA-94587/24919373_zpid/,1492.0,3, 2, Townhouse,1996,Unknown,93.08,11044.0,765000.0
895,"218 Galano Plz, Union City, CA 94587",Union City,94587,CA,2,499000,DREAM HOME R.E & HOME LOANS,325.0,503435,https://www.zillow.com/homedetails/218-Galano-Plz-Union-City-CA-94587/24919698_zpid/,880.0,2, 1, Condo,1985, All Public,76.28,5667.0,397950.0
901,"212 Entrada Plz, Union City, CA 94587",Union City,94587,CA,2,475000,COLDWELL BANKER,325.0,479170,https://www.zillow.com/homedetails/212-Entrada-Plz-Union-City-CA-94587/24919896_zpid/,710.0,1,0, Condo,1986,Unknown,75.48,2990.0,183542.0
902,"4504 Ventura Way, Union City, CA 94587",Union City,94587,CA,2,548000,COLDWELL BANKER,247.0,533820,https://www.zillow.com/homedetails/4504-Ventura-Way-Union-City-CA-94587/24999099_zpid/,875.0,1, 2, Townhouse,1971,Unknown,94.68,5631.0,355534.0
903,"35520 Monterra Ter APT 304, Union City, CA 94587",Union City,94587,CA,1,425000,"MRL GROUP, INC.",500.0,421964,https://www.zillow.com/homedetails/35520-Monterra-Ter-APT-304-Union-City-CA-94587/58878044_zpid/,695.0,1, 1, Condo,2001,Unknown,94.68,4795.0,309207.0
906,"35560 Monterra Ter APT 101, Union City, CA 94587",Union City,94587,CA,3,649950,LEGACY REAL ESTATE & ASSOC.,581.0,645813,https://www.zillow.com/homedetails/35560-Monterra-Ter-APT-101-Union-City-CA-94587/58877979_zpid/,1200.0,2, 1, Condo,2001,Unknown,93.08,8296.0,594484.0
908,"4246 Miramonte Way, Union City, CA 94587",Union City,94587,CA,3,579000,ADVANCE 1 MCKEEVER REAL ESTATE,250.0,612212,https://www.zillow.com/homedetails/4246-Miramonte-Way-Union-City-CA-94587/24999505_zpid/,1298.0,2, 2, Townhouse,1972, All Public,89.08,7659.0,523682.0
910,"2572 Village Dr, Union City, CA 94587",Union City,94587,CA,3,785000,JLEE REALTY,395.0,824823,https://www.zillow.com/homedetails/2572-Village-Dr-Union-City-CA-94587/24994588_zpid/,1524.0,3, 2, Townhouse,1985, Public Utilities,88.28,10806.0,767040.0
911,"2612 Copa Del Oro Dr, Union City, CA 94587",Union City,94587,CA,2,525000,COLDWELL BANKER,356.0,530526,https://www.zillow.com/homedetails/2612-Copa-Del-Oro-Dr-Union-City-CA-94587/24994791_zpid/,966.0,2, 1, Condo,1986,Unknown,81.88,7186.0,525300.0
912,"2977 Miraloma Way, Union City, CA 94587",Union City,94587,CA,4,1214738,LEGACY REAL ESTATE & ASSOC.,185.0,1214738,https://www.zillow.com/homedetails/2977-Miraloma-Way-Union-City-CA-94587/24991401_zpid/,2357.0,3,0, Single Family,1993,Unknown,82.66,12145.0,860761.0
916,"4765 Randi Ct, Union City, CA 94587",Union City,94587,CA,4,969593,KELLER WILLIAMS,60.0,969593,https://www.zillow.com/homedetails/4765-Randi-Ct-Union-City-CA-94587/25001651_zpid/,1683.0,3,0, Single Family,1990,Unknown,92.28,11341.0,790195.0
922,"416 Dempsey Rd UNIT 217, Milpitas, CA 95035",Milpitas,95035,CA,2,458000,COUNTRY ESTATES INC,420.0,464106,https://www.zillow.com/homedetails/416-Dempsey-Rd-UNIT-217-Milpitas-CA-95035/79841734_zpid/,842.0,1,0, Condo,2007,Unknown,95.18,5456.0,447438.0
923,"167 Cobblestone Loop, Milpitas, CA 95035",Milpitas,95035,CA,3,1198000,COMPASS,170.0,1097741,https://www.zillow.com/homedetails/167-Cobblestone-Loop-Milpitas-CA-95035/124742590_zpid/,1672.0,3, 2, Single Family,2015, Public Utilities,91.98,12887.0,1025020.0
924,"316 Lynn Ave, Milpitas, CA 95035",Milpitas,95035,CA,2,620000,COMPASS,380.0,631059,https://www.zillow.com/homedetails/316-Lynn-Ave-Milpitas-CA-95035/19477858_zpid/,976.0,2,0, Condo,1970," Individual Electric Meters, Individual Gas Meters",86.38,6036.0,497310.0
925,"501 Folsom Cir, Milpitas, CA 95035",Milpitas,95035,CA,2,998888,COMPASS,295.0,1021198,https://www.zillow.com/homedetails/501-Folsom-Cir-Milpitas-CA-95035/19476584_zpid/,1459.0,3, 2, Single Family,1983, Public Utilities,81.48,4034.0,317415.0
929,"211 Wild Rose Way, Milpitas, CA 95035",Milpitas,95035,CA,4,1199000,COMPASS,293.0,1212202,https://www.zillow.com/homedetails/211-Wild-Rose-Way-Milpitas-CA-95035/250816029_zpid/,2105.0,4, 2, Townhouse,2018, Public Utilities,87.41,13856.0,1091166.0
932,"1403 Cherry Cir, Milpitas, CA 95035",Milpitas,95035,CA,3,939888,168 REALTY,340.0,950793,https://www.zillow.com/homedetails/1403-Cherry-Cir-Milpitas-CA-95035/295619764_zpid/,1631.0,3, 1, Townhouse,2018, Public Utilities,87.41,6789.0,495643.0
935,"522 Bayview Park Dr, Milpitas, CA 95035",Milpitas,95035,CA,3,1149000,KELLER WILLIAMS,235.0,1179514,https://www.zillow.com/homedetails/522-Bayview-Park-Dr-Milpitas-CA-95035/19479045_zpid/,1464.0,2, 2, Single Family,1984, Public Utilities,94.38,4061.0,327611.0
936,"1403 Nestwood Way, Milpitas, CA 95035",Milpitas,95035,CA,3,1128000,COLDWELL BANKER,240.0,1152526,https://www.zillow.com/homedetails/1403-Nestwood-Way-Milpitas-CA-95035/124030438_zpid/,1951.0,2, 2, Townhouse,2014," Individual Electric Meters, Public Utilities, Individual Gas Meters",83.08,10661.0,847576.0
937,"600 S Abel St UNIT 304, Milpitas, CA 95035",Milpitas,95035,CA,2,758000,NEXTHOME,474.0,786313,https://www.zillow.com/homedetails/600-S-Abel-St-UNIT-304-Milpitas-CA-95035/82960475_zpid/,1259.0,2,0, Condo,2007, Public Utilities,79.88,7492.0,587640.0
938,"924 Smith Ln, Milpitas, CA 95035",Milpitas,95035,CA,4,1249800,REDFIN,135.0,1264723,https://www.zillow.com/homedetails/924-Smith-Ln-Milpitas-CA-95035/116157347_zpid/,2147.0,4, 2, Single Family,2012, Public Utilities,90.38,11345.0,902047.0
939,"1361 Coyote Creek Way, Milpitas, CA 95035",Milpitas,95035,CA,3,1050000,"NIHOW REAL ESTATE, INC.",240.0,1065276,https://www.zillow.com/homedetails/1361-Coyote-Creek-Way-Milpitas-CA-95035/124745609_zpid/,1668.0,4, 2, Townhouse,2013,Unknown,72.68,10378.0,816790.0
940,"340 Moretti Ln, Milpitas, CA 95035",Milpitas,95035,CA,3,1100000,BAYVIEW REALTY & FINANCIAL,100.0,1129462,https://www.zillow.com/homedetails/340-Moretti-Ln-Milpitas-CA-95035/19477447_zpid/,1522.0,3, 2, Single Family,1986, Public Utilities,95.18,10069.0,826910.0
941,"407 Bayberry Way, Milpitas, CA 95035",Milpitas,95035,CA,3,1124950,EXCEL REALTY,235.0,1144599,https://www.zillow.com/homedetails/407-Bayberry-Way-Milpitas-CA-95035/19476932_zpid/,1536.0,3, 2, Townhouse,1997,Unknown,88.78,8760.0,718839.0
942,"1418 Lavender Loop, Milpitas, CA 95035",Milpitas,95035,CA,3,939000,EVERHOME,352.0,949922,https://www.zillow.com/homedetails/1418-Lavender-Loop-Milpitas-CA-95035/300480687_zpid/,1631.0,3, 1, Condo,2018,Unknown,87.41,11136.0,861935.0
943,"336 Montecito Way, Milpitas, CA 95035",Milpitas,95035,CA,3,919999,CALPHIA REALTY,212.0,931512,https://www.zillow.com/homedetails/336-Montecito-Way-Milpitas-CA-95035/19472765_zpid/,1375.0,3, 2, Townhouse,1992, Public Utilities,92.68,8054.0,659348.0
944,"19 Jacklin Cir, Milpitas, CA 95035",Milpitas,95035,CA,3,1099500,CENTURY 21 INC,170.0,1099754,https://www.zillow.com/homedetails/19-Jacklin-Cir-Milpitas-CA-95035/19476281_zpid/,1657.0,3, 2, Single Family,1982, Public Utilities,81.48,9309.0,768990.0
948,"198 Parc Place Dr, Milpitas, CA 95035",Milpitas,95035,CA,2,738888,REALTY ONE,318.0,728026,https://www.zillow.com/homedetails/198-Parc-Place-Dr-Milpitas-CA-95035/64703491_zpid/,1031.0,2, 2, Townhouse,2005,Unknown,94.28,7983.0,653370.0
949,"1186 Claridad Loop, Milpitas, CA 95035",Milpitas,95035,CA,5,1299950,REALTY WORLD-ALLIANCE,155.0,1315765,https://www.zillow.com/homedetails/1186-Claridad-Loop-Milpitas-CA-95035/79846376_zpid/,2524.0,4, 2, Single Family,2006, Public Utilities,92.68,11345.0,902026.0
953,"183 Douglas Ct, Milpitas, CA 95035",Milpitas,95035,CA,4,1549000,COMPASS,168.0,1578154,https://www.zillow.com/homedetails/183-Douglas-Ct-Milpitas-CA-95035/19480564_zpid/,2247.0,3, 2, Single Family,1999," Individual Electric Meters, Public Utilities, Individual Gas Meters",91.18,12734.0,1019623.0
955,"45 Curtis Ave, Milpitas, CA 95035",Milpitas,95035,CA,2,750000,KW BAY AREA ESTATES,318.0,762583,https://www.zillow.com/homedetails/45-Curtis-Ave-Milpitas-CA-95035/64811281_zpid/,1192.0,3, 1, Condo,2005, Public Utilities,88.68,6844.0,557380.0
956,"209 Sunnyhills Ct, Milpitas, CA 95035",Milpitas,95035,CA,3,741200,"ARNOLD JEE, BROKER",310.0,741809,https://www.zillow.com/homedetails/209-Sunnyhills-Ct-Milpitas-CA-95035/19473356_zpid/,1044.0,2, 2, Condo,1992," Individual Electric Meters, Public Utilities, Natural Gas",91.88,3423.0,269082.0
957,"1606 Hidden Creek Ln, Milpitas, CA 95035",Milpitas,95035,CA,4,1238000,COLDWELL BANKER,257.0,1225929,https://www.zillow.com/homedetails/1606-Hidden-Creek-Ln-Milpitas-CA-95035/243211060_zpid/,2413.0,4, 2, Single Family,2017,Unknown,87.41,14019.0,1127342.0
959,"1128 California Cir, Milpitas, CA 95035",Milpitas,95035,CA,3,1023000,KEYSITE REAL ESTATE CORP,445.0,1022984,https://www.zillow.com/homedetails/1128-California-Cir-Milpitas-CA-95035/250642011_zpid/,1859.0,4, 2, Townhouse,2018,Unknown,87.41,12850.0,1070500.0
961,"1435 Nightshade 21, Milpitas, CA 95035",Milpitas,95035,CA,2,759888,REDFIN,554.0,759614,https://www.zillow.com/homedetails/1435-Nightshade-21-Milpitas-CA-95035/300482048_zpid/,1072.0,2,0, Condo,2018," Public Utilities, Solar Panels - Leased",87.41,3074.0,239658.0
969,"3291 Berryessa St APT 3, Palo Alto, CA 94303",Palo Alto,94303,CA,3,1388000,COMPASS,397.0,1414909,https://www.zillow.com/homedetails/3291-Berryessa-St-APT-3-Palo-Alto-CA-94303/116156749_zpid/,1456.0,2, 2, Townhouse,2011, Public Utilities,93.97,10791.0,832660.0
983,"3073 Middlefield Rd APT 201, Palo Alto, CA 94306",Palo Alto,94306,CA,3,1495000,COMPASS,572.0,1581324,https://www.zillow.com/homedetails/3073-Middlefield-Rd-APT-201-Palo-Alto-CA-94306/19501396_zpid/,1480.0,2, 1, Condo,1986, Public Utilities,86.77,10477.0,813156.0
999,"1982 W Bayshore Rd APT 237, East Palo Alto, CA 94303",East Palo Alto,94303,CA,2,798000,INTERO REAL ESTATE SERVICES,415.0,792873,https://www.zillow.com/homedetails/1982-W-Bayshore-Rd-APT-237-East-Palo-Alto-CA-94303/79845583_zpid/,1197.0,2,0, Condo,2002, Public Utilities,86.77,7948.0,643751.0
1007,"911 Pinto Ct, Walnut Creek, CA 94596",Walnut Creek,94596,CA,3,1289000,GOLDEN GATE SOTHEBY'S RE,62.0,1348400,https://www.zillow.com/homedetails/911-Pinto-Ct-Walnut-Creek-CA-94596/18420489_zpid/,1843.0,2, 2, Single Family,1965,Unknown,83.7,6649.0,543533.0
1009,"1713 S Villa Way, Walnut Creek, CA 94595",Walnut Creek,94595,CA,1,525000,COMPASS,295.0,527524,https://www.zillow.com/homedetails/1713-S-Villa-Way-Walnut-Creek-CA-94595/18419123_zpid/,932.0,2,0, Condo,1991,Unknown,87.54,5129.0,382358.0
1012,"1952 Via Appia, Walnut Creek, CA 94598",Walnut Creek,94598,CA,3,799000,WINDERMERE DIABLO REALTY,375.0,799006,https://www.zillow.com/homedetails/1952-Via-Appia-Walnut-Creek-CA-94598/18383726_zpid/,1898.0,3, 2, Townhouse,1986,Unknown,91.37,6075.0,473321.0
1016,"541 Monarch Ridge Dr, Walnut Creek, CA 94597",Walnut Creek,94597,CA,2,859000,VILLAGE ASSOCIATES REAL ESTATE,598.0,869989,https://www.zillow.com/homedetails/541-Monarch-Ridge-Dr-Walnut-Creek-CA-94597/18412116_zpid/,1893.0,3, 2, Townhouse,1979,Unknown,85.97,6434.0,445112.0
1018,"1983 La Corso Ct, Walnut Creek, CA 94598",Walnut Creek,94598,CA,3,775000,WINDERMERE DIABLO REALTY,345.0,784119,https://www.zillow.com/homedetails/1983-La-Corso-Ct-Walnut-Creek-CA-94598/18383446_zpid/,1457.0,2, 2, Townhouse,1976,Unknown,94.57,8782.0,718373.0
1019,"1470 Creekside Dr APT 30, Walnut Creek, CA 94596",Walnut Creek,94596,CA,2,515000,COMPASS,435.0,526956,https://www.zillow.com/homedetails/1470-Creekside-Dr-APT-30-Walnut-Creek-CA-94596/18417595_zpid/,1128.0,2, 0, Condo,1962,Unknown,94.9,5208.0,382470.0
1020,"1012 San Souci, Walnut Creek, CA 94597",Walnut Creek,94597,CA,2,560000,KELLER WILLIAMS,385.0,574933,https://www.zillow.com/homedetails/1012-San-Souci-Walnut-Creek-CA-94597/18409738_zpid/,1073.0,2,0, Townhouse,1972,Unknown,94.77,7814.0,352921.0
1023,"3316 Terra Granada Dr APT 1B, Walnut Creek, CA 94595",Walnut Creek,94595,CA,3,1298000,COMPASS,1017.0,1331282,https://www.zillow.com/homedetails/3316-Terra-Granada-Dr-APT-1B-Walnut-Creek-CA-94595/18424165_zpid/,1830.0,2, 1, Condo,1979,Unknown,92.34,10480.0,862179.0
1024,"1876 Countrywood Ct, Walnut Creek, CA 94598",Walnut Creek,94598,CA,2,649000,DUDUM REAL ESTATE GROUP,371.0,668317,https://www.zillow.com/homedetails/1876-Countrywood-Ct-Walnut-Creek-CA-94598/18382275_zpid/,1036.0,2, 2, Townhouse,1971,Unknown,90.57,1467.0,65907.0
1026,"1696 Countrywood Ct, Walnut Creek, CA 94598",Walnut Creek,94598,CA,3,675000,COMPASS,371.0,675051,https://www.zillow.com/homedetails/1696-Countrywood-Ct-Walnut-Creek-CA-94598/18382227_zpid/,1568.0,3, 2, Townhouse,1971,Unknown,91.37,1611.0,78627.0
1033,"828 Foxtail Ct, Walnut Creek, CA 94598",Walnut Creek,94598,CA,5,1699000,COMPASS,33.0,1737271,https://www.zillow.com/homedetails/828-Foxtail-Ct-Walnut-Creek-CA-94598/18377902_zpid/,3121.0,3, 3, Single Family,1994,Unknown,77.81,15549.0,1308124.0
1034,"1580 Pyrenees Pl, Walnut Creek, CA 94598",Walnut Creek,94598,CA,4,975000,YOUR FAMILY REALTY CENTER,464.0,995008,https://www.zillow.com/homedetails/1580-Pyrenees-Pl-Walnut-Creek-CA-94598/18383083_zpid/,2483.0,3, 2, Single Family,1981,Unknown,82.57,8374.0,682713.0
