,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"438 Century Oaks Way, San Jose, CA 95111",San Jose,95111,CA,3,899000,Compass,Not_Found,951825,https://www.zillow.com/homedetails/438-Century-Oaks-Way-San-Jose-CA-95111/19809205_zpid/,"1,400",2, 2,Not_Found, 2,Not_Found, Yes,0.17, Single Family, No,1976, Public Utilities,94.48," $8,774"," $589,328"
1,"3115 Mount Isabel Dr, San Jose, CA 95148",San Jose,95148,CA,4,1199900,"Nova Land, Inc",Not_Found,1238170,https://www.zillow.com/homedetails/3115-Mount-Isabel-Dr-San-Jose-CA-95148/19792918_zpid/,"2,104",3, 3,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1979, Public Utilities,94.85," $11,670"," $824,183"
2,"4009 San Ysidro Way, San Jose, CA 95111",San Jose,95111,CA,4,749000,Century 21 Real Estate Alliance,Not_Found,779161,https://www.zillow.com/homedetails/4009-San-Ysidro-Way-San-Jose-CA-95111/19733125_zpid/,"1,513",3, 3,Not_Found,Not_Found,Not_Found, Yes,0.12, Single Family, No,1959, Public Utilities,89.65," $2,890"," $134,282"
3,"970 Dry Creek Rd, Campbell, CA 95008",Campbell,95008,CA,3,1488888,Real Estate Experts,Not_Found,1553074,https://www.zillow.com/homedetails/970-Dry-Creek-Rd-Campbell-CA-95008/19670058_zpid/,"1,684",2, 2,Not_Found, 5, 1,Not_Found,0.27, Single Family, No,1963, Public Utilities,91.26," $14,459"," $1,080,974"
4,"2863 S Bascom Ave APT 808, Campbell, CA 95008",Campbell,95008,CA,2,599000,Compass, $445/mo,603718,https://www.zillow.com/homedetails/2863-S-Bascom-Ave-APT-808-Campbell-CA-95008/19671015_zpid/,841,2, 2,Not_Found,Not_Found,Not_Found, Yes,0.02, Condo, No,1984, Public Utilities,95.26," $7,168"," $532,888"
5,"5891 Indian Ave, San Jose, CA 95123",San Jose,95123,CA,4,960000,RE/MAX Santa Clara Valley,Not_Found,1047426,https://www.zillow.com/homedetails/5891-Indian-Ave-San-Jose-CA-95123/19819066_zpid/,"1,640",2, 2,Not_Found, 2,Not_Found, Yes,0.13, Single Family, No,1968," Individual Electric Meters, Public Utilities, Individual Gas Meters",95.25," $8,597"," $541,593"
6,"1566 Via Pisa, San Jose, CA 95128",San Jose,95128,CA,3,998888,Intero Real Estate Services,Not_Found,1058821,https://www.zillow.com/homedetails/1566-Via-Pisa-San-Jose-CA-95128/19590253_zpid/,"1,207",2, 2,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1959," Individual Electric Meters, Individual Gas Meters",95.26," $2,093"," $69,738"
7,"1509 Koch Ln, San Jose, CA 95125",San Jose,95125,CA,5,1998000,Intero Real Estate Services,Not_Found,2029034,https://www.zillow.com/homedetails/1509-Koch-Ln-San-Jose-CA-95125/19693107_zpid/,"2,686",3, 3,Not_Found, 2,Not_Found, Yes,0.27, Single Family, No,1969, Public Utilities,95.13," $18,846"," $1,511,008"
8,"7100 Royal Ridge Dr, San Jose, CA 95120",San Jose,95120,CA,6,3595000,Intero Real Estate Services,Not_Found,3627925,https://www.zillow.com/homedetails/7100-Royal-Ridge-Dr-San-Jose-CA-95120/19765684_zpid/,"6,218",7, 5, 2, 6,Not_Found, Yes,2.21, Single Family, No,1987, Public Utilities,93.37," $33,330"," $2,758,654"
9,"372 Mustang St, San Jose, CA 95123",San Jose,95123,CA,3,999999,Realty World Castlerock,Not_Found,956977,https://www.zillow.com/homedetails/372-Mustang-St-San-Jose-CA-95123/19828965_zpid/,"1,649",2, 2,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1964," Individual Electric Meters, Public Utilities, Individual Gas Meters",Not_Found," $7,340"," $483,816"
