,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"1980 Calaveras Dr, Bay Point, CA 94565",Bay Point,94565,CA,3,450000,Coldwell Banker,Not_Found,450004,https://www.zillow.com/homedetails/1980-Calaveras-Dr-Bay-Point-CA-94565/18332931_zpid/,"1,444",2, 2,Not_Found, 2, One Story,Not_Found,"6,599", Single Family, No,1979,Not_Found,77.92," $2,615"," $166,881"
1,"45 Arlington Dr, Pittsburg, CA 94565",Pittsburg,94565,CA,4,450000,Keller Williams Realty,Not_Found,467475,https://www.zillow.com/homedetails/45-Arlington-Dr-Pittsburg-CA-94565/18325846_zpid/,"1,468",2, 2,Not_Found, 2, 1,Not_Found,"8,250", Single Family, No,1973,Not_Found,81.12," $5,017"," $376,728"
2,"109 Eveningstar Ct, Pittsburg, CA 94565",Pittsburg,94565,CA,4,429950,Range Real Estate,Not_Found,417610,https://www.zillow.com/homedetails/109-Eveningstar-Ct-Pittsburg-CA-94565/18332698_zpid/,"1,208",2, 2,Not_Found, 2, One Story,Not_Found,"5,998", Single Family, No,1978,Not_Found,81.12," $2,338"," $149,022"
3,"4428 Buchanan Pl, Pittsburg, CA 94565",Pittsburg,94565,CA,5,499800,Dudum Real Estate Group,Not_Found,517034,https://www.zillow.com/homedetails/4428-Buchanan-Pl-Pittsburg-CA-94565/18330217_zpid/,"2,332",3, 2, 1, 2, One Story,Not_Found,0.35, Single Family, No,1978,Not_Found,72.41," $5,514"," $412,244"
4,"2509 El Fresco Dr, Bay Point, CA 94565",Bay Point,94565,CA,5,690000,Corcoran Global Living,Not_Found,690087,https://www.zillow.com/homedetails/2509-El-Fresco-Dr-Bay-Point-CA-94565/111415589_zpid/,"2,734",3,Not_Found,Not_Found, 0, Two Story, Yes,"5,292", Single Family, No,2011,Not_Found,85.12," $8,621"," $449,376"
5,"1047 Saint Raphael Dr, Bay Point, CA 94565",Bay Point,94565,CA,3,550800,Keller Williams Realty,Not_Found,563318,https://www.zillow.com/homedetails/1047-Saint-Raphael-Dr-Bay-Point-CA-94565/18338354_zpid/,"1,441",2, 2,Not_Found, 2, 2," Family Room, Gas Burning","4,329", Single Family, No,1991,Not_Found,85.12," $6,935"," $530,400"
6,"4341 Heights Ave, Pittsburg, CA 94565",Pittsburg,94565,CA,3,545000,BETTER HOMES/MANN & ASSC,Not_Found,563479,https://www.zillow.com/homedetails/4341-Heights-Ave-Pittsburg-CA-94565/18329972_zpid/,"1,635",3, 2, 1, 2, One Story,Not_Found,"7,740", Single Family, No,1976,Not_Found,79.6," $2,639"," $167,676"
7,"191 Fairoaks Way, Pittsburg, CA 94565",Pittsburg,94565,CA,3,479000,NextHome Town & Country,Not_Found,479405,https://www.zillow.com/homedetails/191-Fairoaks-Way-Pittsburg-CA-94565/18330048_zpid/,"1,550",2, 2,Not_Found, 2,Not_Found,Not_Found,"9,147", Single Family, No,1978,Not_Found,81.2," $2,044"," $132,848"
8,"3111 Delano Dr, Pittsburg, CA 94565",Pittsburg,94565,CA,5,830000,Discovery Realty Inc.,Not_Found,Not_Found,https://www.zillow.com/homedetails/3111-Delano-Dr-Pittsburg-CA-94565/2077712874_zpid/,"2,770",3, 3,Not_Found, 2, Two Story,Not_Found,"3,602", Single Family, Yes,2020,Not_Found,Not_Found,Not_Found,Not_Found
9,"3138 La Corona Dr, Pittsburg, CA 94565",Pittsburg,94565,CA,5,786915,Discovery Realty Inc.,Not_Found,Not_Found,https://www.zillow.com/homedetails/3138-La-Corona-Dr-Pittsburg-CA-94565/2077713155_zpid/,"2,384",4, 3, 1, 2, Two Story,Not_Found,"4,364", Single Family, Yes,2020,Not_Found,Not_Found,Not_Found,Not_Found
