,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"4895 Landmark Way, Dublin, CA 94568",Dublin,94568,CA,5,1399999,Re/Max Accord, $79/mo,1432082,https://www.zillow.com/homedetails/4895-Landmark-Way-Dublin-CA-94568/58879436_zpid/,"2,690",3, 3,Not_Found, 2,Not_Found, Yes,0.17, Single Family, No,2002,Not_Found,83.45," $12,202"," $896,844"
1,"5880 Hillbrook Pl, Dublin, CA 94568",Dublin,94568,CA,4,999950,Legacy Real Estate & Assoc., $194/mo,1019421,https://www.zillow.com/homedetails/5880-Hillbrook-Pl-Dublin-CA-94568/89034167_zpid/,"2,149",3, 2, 1, 2,Not_Found, Yes,0.06, Single Family, No,2008,Not_Found,92.25," $9,712"," $705,830"
2,"3320 Oak Bluff Ln, Dublin, CA 94568",Dublin,94568,CA,5,1569000,Compass, $86/mo,1592042,https://www.zillow.com/homedetails/3320-Oak-Bluff-Ln-Dublin-CA-94568/53049574_zpid/,"3,411",4, 4,Not_Found, 3,Not_Found, Yes,0.15, Single Family, No,2000,Not_Found,81.05," $14,680"," $1,102,450"
3,"11594 Fenwick Ct, Dublin, CA 94568",Dublin,94568,CA,4,1175000,Keller Williams Realty,Not_Found,1209306,https://www.zillow.com/homedetails/11594-Fenwick-Ct-Dublin-CA-94568/25069974_zpid/,"1,844",3, 2, 1, 2,Not_Found, Yes,0.23, Single Family, No,1987,Not_Found,79.41," $6,128"," $418,584"
4,"7782 Tuscany Dr, Dublin, CA 94568",Dublin,94568,CA,3,685000,Compass, $375/mo,693353,https://www.zillow.com/homedetails/7782-Tuscany-Dr-Dublin-CA-94568/25072523_zpid/,"1,260",2, 2,Not_Found, 1,Not_Found, Yes,0, Condo, No,1992,Not_Found,81.81," $8,022"," $594,713"
5,"7369 Ione Ct, Dublin, CA 94568",Dublin,94568,CA,3,824950,Compass,Not_Found,847448,https://www.zillow.com/homedetails/7369-Ione-Ct-Dublin-CA-94568/25064789_zpid/,"1,258",2, 2,Not_Found, 2,Not_Found,Not_Found,0.15, Single Family, No,1965,Not_Found,75.41," $4,841"," $308,455"
6,"11565 Manzanita Ln, Dublin, CA 94568",Dublin,94568,CA,4,1188000,Flat Rate Realty,Not_Found,1225125,https://www.zillow.com/homedetails/11565-Manzanita-Ln-Dublin-CA-94568/25062468_zpid/,"1,901",3, 3,Not_Found, 2, 2, Yes,0.18, Single Family, No,1965,Not_Found,78.61," $11,914"," $882,300"
7,"2816 Stringham Way, Dublin, CA 94568",Dublin,94568,CA,4,1050000,Compass, $117/mo,1057364,https://www.zillow.com/homedetails/2816-Stringham-Way-Dublin-CA-94568/241576382_zpid/,"2,298",4, 4,Not_Found, 2,Not_Found,Not_Found,0.05, Single Family, No,2017,Not_Found,Not_Found," $11,829"," $867,000"
8,"8682 Fenwick Way, Dublin, CA 94568",Dublin,94568,CA,4,1250000,BHG Reliance Partners,Not_Found,1279673,https://www.zillow.com/homedetails/8682-Fenwick-Way-Dublin-CA-94568/25069958_zpid/,"2,052",3, 3,Not_Found, 3,Not_Found, Yes,0.34, Single Family, No,1986,Not_Found,75.41," $6,482"," $446,962"
9,"8123 Brittany Dr, Dublin, CA 94568",Dublin,94568,CA,4,1350000,Coldwell Banker Realty, $22/mo,1376999,https://www.zillow.com/homedetails/8123-Brittany-Dr-Dublin-CA-94568/25070952_zpid/,"2,329",3, 2, 1, 3,Not_Found, Yes,0.19, Single Family, No,1988,Not_Found,81.01," $16,690"," $1,265,000"
