,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
17,"2341 Roosevelt Ave, Berkeley, CA 94703",Berkeley,94703,CA,3,1195000,COMPASS,Not_Found,1261832,https://www.zillow.com/homedetails/2341-Roosevelt-Ave-Berkeley-CA-94703/24834804_zpid/,"2,176",3, 3,Not_Found, 1,Not_Found,Not_Found,"6,481", Single Family, No,1903,Not_Found,82.71," $7,743"," $324,477"
18,"140 Panoramic Way, Berkeley, CA 94704",Berkeley,94704,CA,3,1295000,Compass,Not_Found,1419675,https://www.zillow.com/homedetails/140-Panoramic-Way-Berkeley-CA-94704/24834378_zpid/,"2,322",2,Not_Found,Not_Found, 2,Not_Found, Yes,0.27, Single Family, No,1976,Not_Found,Not_Found," $11,194"," $610,887"
19,"906 Hearst Ave, Berkeley, CA 94710",Berkeley,94710,CA,5,1908108,BHG RE RELIANCE PARTNERS,Not_Found,1968702,https://www.zillow.com/homedetails/906-Hearst-Ave-Berkeley-CA-94710/24837874_zpid/,"2,124",4, 4,Not_Found, 2,Not_Found, 1,"5,998", Single Family, No,1901,Not_Found,90.63," $13,556"," $870,757"
20,"1098 Keith Ave, Berkeley, CA 94708",Berkeley,94708,CA,4,1489000,Compass,Not_Found,1542766,https://www.zillow.com/homedetails/1098-Keith-Ave-Berkeley-CA-94708/24849450_zpid/,"1,933",3, 3,Not_Found, 1, Two Story,Not_Found,"4,351", Single Family, No,1923,Not_Found,91.35," $4,111"," $114,851"
21,"1801 University Ave UNIT 202, Berkeley, CA 94703",Berkeley,94703,CA,2,575000,Keller Williams Realty, $405/mo,592656,https://www.zillow.com/homedetails/1801-University-Ave-UNIT-202-Berkeley-CA-94703/24837251_zpid/,600,1, 1,Not_Found, 1,Not_Found,Not_Found,Not_Found, Condo, No,1998,Not_Found,94.71," $8,604"," $535,000"
22,"1336 Berkeley Way, Berkeley, CA 94702",Berkeley,94702,CA,2,769000,RED OAK REALTY,Not_Found,836519,https://www.zillow.com/homedetails/1336-Berkeley-Way-Berkeley-CA-94702/24837499_zpid/,"1,382",1, 1,Not_Found, 0,Not_Found,Not_Found,Not_Found, Condo, No,1906,Not_Found,90.63," $3,786"," $157,097"
23,"1238 Carlotta Ave, Berkeley, CA 94707",Berkeley,94707,CA,4,1695000,RED OAK REALTY,Not_Found,1699140,https://www.zillow.com/homedetails/1238-Carlotta-Ave-Berkeley-CA-94707/24842946_zpid/,"1,937",3, 3,Not_Found, 0,Not_Found,Not_Found,"4,621", Single Family, No,1921,Not_Found,93.87," $6,322"," $228,913"
24,"2935 Acton St, Berkeley, CA 94702",Berkeley,94702,CA,3,894000,RE/MAX Gold Elite,Not_Found,971258,https://www.zillow.com/homedetails/2935-Acton-St-Berkeley-CA-94702/24830644_zpid/,"1,513",2, 1, 1, 0, 2,Not_Found,"2,570", Single Family, No,1924,Not_Found,82.63," $3,668"," $74,894"
25,"1960 San Antonio Ave, Berkeley, CA 94707",Berkeley,94707,CA,7,5995000,Golden Gate Sotheby's Int'l Re,Not_Found,18091,https://www.zillow.com/homedetails/1960-San-Antonio-Ave-Berkeley-CA-94707/2131039497_zpid/,"12,000",7, 6, 1, 2, Two Story,Not_Found,3, Single Family, No,1912,Not_Found,85.07,Not_Found,Not_Found
26,"2649 San Pablo Ave APT 3, Berkeley, CA 94702",Berkeley,94702,CA,3,589000,REDFIN, $258/mo,822489,https://www.zillow.com/homedetails/2649-San-Pablo-Ave-APT-3-Berkeley-CA-94702/94686935_zpid/,"1,100",2, 2,Not_Found, 0,Not_Found,Not_Found,Not_Found, Condo, No,1929,Not_Found,Not_Found," $5,873"," $378,200"
27,"350 Panoramic Way, Berkeley, CA 94704",Berkeley,94704,CA,2,1300000,Keller Williams Realty,Not_Found,1318279,https://www.zillow.com/homedetails/350-Panoramic-Way-Berkeley-CA-94704/24834452_zpid/,"1,439",2, 2,Not_Found, 2,Not_Found,Not_Found,"3,606", Single Family, No,1937,Not_Found,90.63," $7,086"," $343,463"
28,"1725 Berkeley Way, Berkeley, CA 94703",Berkeley,94703,CA,0,950000,Golden Gate Sotheby's Int'l Re,Not_Found,1046046,https://www.zillow.com/homedetails/1725-Berkeley-Way-Berkeley-CA-94703/24837297_zpid/,"1,313",0,Not_Found,Not_Found, 2,Not_Found,Not_Found,"3,902", Multiple Occupancy, No,1924,Not_Found,84.31," $4,468"," $127,504"
29,"1620 California St, Berkeley, CA 94703",Berkeley,94703,CA,3,1095000,DISTRICT HOMES,Not_Found,1355529,https://www.zillow.com/homedetails/1620-California-St-Berkeley-CA-94703/24838645_zpid/,"1,434",1, 1,Not_Found, 1,Not_Found,Not_Found,"3,781", Single Family, No,1916,Not_Found,94.71," $16,024"," $1,163,570"
30,"54 Vicente Rd, Berkeley, CA 94705",Berkeley,94705,CA,5,12000000,THE GRUBB CO. INC.,Not_Found,3192556,https://www.zillow.com/homedetails/54-Vicente-Rd-Berkeley-CA-94705/111395247_zpid/,"4,775",6, 5, 1, 3,Not_Found,Not_Found,1.44, Single Family, No,2007,Not_Found,Not_Found," $61,042"," $4,568,600"
31,"285 The Uplands, Berkeley, CA 94705",Berkeley,94705,CA,3,2545000,THE GRUBB CO. INC.,Not_Found,2695007,https://www.zillow.com/homedetails/285-The-Uplands-Berkeley-CA-94705/24850237_zpid/,"3,265",4, 3, 1, 1,Not_Found,Not_Found,0.27, Single Family, No,1939,Not_Found,94.39," $23,371"," $1,579,441"
32,"680 The Alameda, Berkeley, CA 94707",Berkeley,94707,CA,4,2389000,COMPASS,Not_Found,2172909,https://www.zillow.com/homedetails/680-The-Alameda-Berkeley-CA-94707/24847008_zpid/,"3,754",4, 3, 1, 2,Not_Found,Not_Found,"4,486", Single Family, No,1936,Not_Found,89.87," $12,791"," $707,388"
33,"2933 Stanton St, Berkeley, CA 94702",Berkeley,94702,CA,8,899000,Ackerman Realty Group,Not_Found,974308,https://www.zillow.com/homedetails/2933-Stanton-St-Berkeley-CA-94702/24830618_zpid/,"2,664",4, 4,Not_Found, 0, 2,Not_Found,"3,998", Multiple Occupancy, No,1944,Not_Found,94.63," $28,696"," $894,861"
34,"1609 Alcatraz Ave, Berkeley, CA 94703",Berkeley,94703,CA,2,895000,Brickhouse Real Estate Partner,Not_Found,980858,https://www.zillow.com/homedetails/1609-Alcatraz-Ave-Berkeley-CA-94703/24828267_zpid/,984,2, 2,Not_Found, 2, 1,Not_Found,"3,184", Single Family, No,1925,Not_Found,89.11," $13,550"," $970,000"
35,"1104 Woodside Rd, Berkeley, CA 94708",Berkeley,94708,CA,5,1699000,Keller Williams Realty Danville, $27/mo,1704106,https://www.zillow.com/homedetails/1104-Woodside-Rd-Berkeley-CA-94708/24849901_zpid/,"3,572",4, 3, 1, 2, One Story,Not_Found,"6,534", Single Family, No,1952,Not_Found,92.95," $5,462"," $118,247"
36,"2320 10th St, Berkeley, CA 94710",Berkeley,94710,CA,5,999000,"FORREST GEE, BROKER",Not_Found,1353790,https://www.zillow.com/homedetails/2320-10th-St-Berkeley-CA-94710/24835714_zpid/,"2,509",3,Not_Found,Not_Found, 1, 3,Not_Found,"4,334", Multiple Occupancy, No,1911,Not_Found,94.63," $8,170"," $413,563"
37,"101 Tunnel Rd, Berkeley, CA 94705",Berkeley,94705,CA,3,1628000,FORMALITY REAL ESTATE,Not_Found,1694248,https://www.zillow.com/homedetails/101-Tunnel-Rd-Berkeley-CA-94705/24850146_zpid/,"1,743",2, 2,Not_Found, 1, Three or More Stories,Not_Found,"6,094", Single Family, No,1920,Not_Found,73.59," $6,020"," $228,929"
38,"520 Cragmont Ave, Berkeley, CA 94708",Berkeley,94708,CA,5,2195000,THE GRUBB CO. INC.,Not_Found,2164197,https://www.zillow.com/homedetails/520-Cragmont-Ave-Berkeley-CA-94708/24848011_zpid/,"3,194",4, 3, 1, 2, 2,Not_Found,"6,751", Single Family, No,1935,Not_Found,93.8," $30,660"," $2,142,000"
39,"2804 Hillegass Ave 2, Berkeley, CA 94705",Berkeley,94705,CA,2,898000,BERKELEY HILLS REALTY, $400/mo,969313,https://www.zillow.com/homedetails/2804-Hillegass-Ave-2-Berkeley-CA-94705/24831501_zpid/,"1,006",1, 1,Not_Found, 0, 3,Not_Found,Not_Found, Condo, No,1910,Not_Found,71.19," $11,937"," $850,020"
40,"3059 Parkfield Ct, Fairfield, CA 94533",Fairfield,94533,CA,3,499500,Miller Real Estate,Not_Found,501567,https://www.zillow.com/homedetails/3059-Parkfield-Ct-Fairfield-CA-94533/15729943_zpid/,"2,110",3, 2, 1, 2, 3, Yes,"10,018", Single Family, No,1979, All Public,Not_Found," $3,906"," $353,581"
