,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"4 Hinton Ranch Rd, Pacifica, CA 94044",Pacifica,94044,CA,for,899000,Eccleston Incorporated,Not_Found,2850,https://www.zillow.com/homedetails/4-Hinton-Ranch-Rd-Pacifica-CA-94044/181367609_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found, Gas - Available at Street,Not_Found, $524," $32,263"
1,"0 Weiler Ranch Rd, Pacifica, CA 94044",Pacifica,94044,CA,for,2500000,Symphonic Real Estate Services,Not_Found,Not_Found,https://www.zillow.com/homedetails/0-Weiler-Ranch-Rd-Pacifica-CA-94044/2080814660_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found," Gas - Available at Street, Electricity - Available at Street, Wind",Not_Found,Not_Found,Not_Found
2,"6 Hinton Ranch Rd, Pacifica, CA 94044",Pacifica,94044,CA,for,899000,Eccleston Incorporated,Not_Found,2850,https://www.zillow.com/homedetails/6-Hinton-Ranch-Rd-Pacifica-CA-94044/181367607_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found," Gas - Available at Street, Electricity - Available at Street",Not_Found, $455," $26,330"
3,"Vacant LOT CORONA, Pacifica, CA 94044",Pacifica,94044,CA,for,1500000,RE/MAX Star Properties,Not_Found,3200,https://www.zillow.com/homedetails/Vacant-LOT-CORONA-Pacifica-CA-94044/2083941544_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found," Gas - Available at Street, Public Utilities",Not_Found,Not_Found,Not_Found
4,"976 Anza Dr, Pacifica, CA 94044",Pacifica,94044,CA,4,1347268,Eccleston Incorporated,Not_Found,1347268,https://www.zillow.com/homedetails/976-Anza-Dr-Pacifica-CA-94044/15503303_zpid/,"2,030",2,Not_Found,Not_Found, 0, 2, Yes,"4,965", Single Family,Not_Found,1954,Not_Found,94.22," $7,115"," $513,850"
5,"247 Lauren Ave, Pacifica, CA 94044",Pacifica,94044,CA,4,1132944,Symphonic Real Estate Services,Not_Found,1132944,https://www.zillow.com/homedetails/247-Lauren-Ave-Pacifica-CA-94044/15493381_zpid/,"1,170",2, 2,Not_Found, 2, 2, Yes,"4,965", Single Family,Not_Found,1955,Not_Found,83.92," $1,992"," $72,249"
6,"949 Regina Way, Pacifica, CA 94044",Pacifica,94044,CA,3,1029873,Eccleston Incorporated,Not_Found,1029873,https://www.zillow.com/homedetails/949-Regina-Way-Pacifica-CA-94044/15505751_zpid/,"1,100",0,Not_Found,Not_Found, 0,Not_Found,Not_Found,"6,534", Single Family,Not_Found,1960,Not_Found,93.54," $10,094"," $777,466"
7,"270 Beachview Ave, Pacifica, CA 94044",Pacifica,94044,CA,2,987757,RE/MAX Star Properties, $560/mo,987757,https://www.zillow.com/homedetails/270-Beachview-Ave-Pacifica-CA-94044/15478250_zpid/,"1,440",Not_Found,Not_Found,Not_Found, 2,Not_Found,Not_Found,"1,219", Single Family,Not_Found,1979,Not_Found,Not_Found," $10,887"," $844,060"
8,"2500 Francisco Blvd, Pacifica, CA 94044",Pacifica,94044,CA,spaces:,890000,Eccleston Incorporated,Not_Found,Not_Found,https://www.zillow.com/homedetails/2500-Francisco-Blvd-Pacifica-CA-94044/181350853_zpid/,Not_Found,Not_Found,Not_Found,Not_Found, 0,Not_Found,Not_Found,Not_Found, Single Family,Not_Found,Not_Found,Not_Found,91.92," $15,358"," $890,000"
9,"658 Foothill Dr, Pacifica, CA 94044",Pacifica,94044,CA,3,240626,Symphonic Real Estate Services,Not_Found,Not_Found,https://www.zillow.com/homedetails/658-Foothill-Dr-Pacifica-CA-94044/15477572_zpid/,"1,260",2, 1, 1, 1, 2,Not_Found,"4,116", Single Family,Not_Found,1964,Not_Found,87.92," $3,793"," $240,626"
