,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"147 Cleveland Ave, San Jose, CA 95128",San Jose,95128,CA,2,769950,Compass,Not_Found,787448,https://www.zillow.com/homedetails/147-Cleveland-Ave-San-Jose-CA-95128/19582465_zpid/,778,1, 1,Not_Found,Not_Found,Not_Found, Yes,0.13, Single Family, No,1920," Public Utilities, Natural Gas",Not_Found," $3,270"," $154,136"
1,"2711 Nicasio Ct, San Jose, CA 95127",San Jose,95127,CA,4,965000,"J. Rockcliff, REALTORS®",Not_Found,1002973,https://www.zillow.com/homedetails/2711-Nicasio-Ct-San-Jose-CA-95127/54771691_zpid/,"2,000",3, 2, 1, 2,Not_Found, Yes,0.08, Single Family, Yes,2000,Not_Found,92.65," $11,909"," $793,152"
2,"898 Bowen Ave, San Jose, CA 95123",San Jose,95123,CA,4,1279950,KW Bay Area Estates,Not_Found,1330316,https://www.zillow.com/homedetails/898-Bowen-Ave-San-Jose-CA-95123/19831607_zpid/,"2,321",3, 2, 1, 2,Not_Found, Yes,0.18, Single Family, No,1981," Public Utilities, Solar Panels - Owned",86.45," $14,471"," $878,929"
3,"3121 Mount Vista Dr, San Jose, CA 95127",San Jose,95127,CA,4,950000,Realty One Group Infinity,Not_Found,668900,https://www.zillow.com/homedetails/3121-Mount-Vista-Dr-San-Jose-CA-95127/19786128_zpid/,"1,260",2, 2,Not_Found, 1,Not_Found,Not_Found,0.12, Single Family, No,1959, Other,95.05," $10,392"," $687,251"
4,"2079 Scott St, San Jose, CA 95128",San Jose,95128,CA,3,799888,Intero Real Estate Services,Not_Found,812556,https://www.zillow.com/homedetails/2079-Scott-St-San-Jose-CA-95128/19585214_zpid/,"1,100",2, 2,Not_Found, 1, 1, Yes,0.06, Single Family, No,1930, Public Utilities,Not_Found," $8,546"," $560,239"
5,"1396 Cordelia Ave, San Jose, CA 95129",San Jose,95129,CA,3,1950000,Daylight Realty & Loans Corp.,Not_Found,2108108,https://www.zillow.com/homedetails/1396-Cordelia-Ave-San-Jose-CA-95129/19649514_zpid/,"1,747",3, 2, 1, 2,Not_Found, Yes,0.19, Single Family, No,1960, Public Utilities,94.94," $15,073"," $1,070,784"
6,"761 Bonita Pl, San Jose, CA 95116",San Jose,95116,CA,3,642888,KW Silicon City, $240/mo,655351,https://www.zillow.com/homedetails/761-Bonita-Pl-San-Jose-CA-95116/64756811_zpid/,"1,231",3, 2, 1, 2, 2,Not_Found,0.02, Townhouse, No,2005," Individual Electric Meters, Public Utilities, Individual Gas Meters",93.25," $3,979"," $271,922"
7,"6980 Sessions Dr, San Jose, CA 95119",San Jose,95119,CA,3,898000,Elite Realty Services,Not_Found,938146,https://www.zillow.com/homedetails/6980-Sessions-Dr-San-Jose-CA-95119/19841398_zpid/,"1,401",2, 2,Not_Found, 2,Not_Found, Yes,0.14, Single Family, No,1980, Public Utilities,95.32," $10,038"," $620,884"
8,"1566 Via Pisa, San Jose, CA 95128",San Jose,95128,CA,3,998888,Intero Real Estate Services,Not_Found,1052358,https://www.zillow.com/homedetails/1566-Via-Pisa-San-Jose-CA-95128/19590253_zpid/,"1,207",2, 2,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1959," Individual Electric Meters, Individual Gas Meters",95.26," $2,093"," $69,738"
9,"3940 Tuers Rd, San Jose, CA 95121",San Jose,95121,CA,4,978900,Intero Real Estate Services,Not_Found,1028590,https://www.zillow.com/homedetails/3940-Tuers-Rd-San-Jose-CA-95121/19735563_zpid/,"1,861",3, 2, 1, 2,Not_Found, Yes,0.18, Single Family, No,1978," Public Utilities, Solar Panels - Owned",95.25," $3,436"," $170,003"
10,"1005 Emory St, San Jose, CA 95126",San Jose,95126,CA,3,1298000,Intero Real Estate Services,Not_Found,1221928,https://www.zillow.com/homedetails/1005-Emory-St-San-Jose-CA-95126/19575037_zpid/,"1,327",2, 1, 1, 4,Not_Found, Yes,0.15, Single Family, No,1930, Public Utilities,94.06," $10,885"," $795,905"
11,"1671 Scott St, San Jose, CA 95128",San Jose,95128,CA,2,699000,Hometown Realty A Janet Pepe Davis Agency,Not_Found,700166,https://www.zillow.com/homedetails/1671-Scott-St-San-Jose-CA-95128/19585558_zpid/,783,1, 1,Not_Found, 1,Not_Found,Not_Found,0.05, Single Family, No,1930, Public Utilities,Not_Found," $8,576"," $634,644"
12,"1509 Koch Ln, San Jose, CA 95125",San Jose,95125,CA,5,1998000,Intero Real Estate Services,Not_Found,2029034,https://www.zillow.com/homedetails/1509-Koch-Ln-San-Jose-CA-95125/19693107_zpid/,"2,686",3, 3,Not_Found, 2,Not_Found, Yes,0.27, Single Family, No,1969, Public Utilities,95.13," $18,846"," $1,511,008"
13,"1556 Hillsdale Ave, San Jose, CA 95118",San Jose,95118,CA,4,1098000,Bayview Residential Brokerage,Not_Found,1264842,https://www.zillow.com/homedetails/1556-Hillsdale-Ave-San-Jose-CA-95118/19694743_zpid/,"1,640",2, 2,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1961, Public Utilities,94.45," $10,844"," $822,381"
14,"6035 Admiralty Pl, San Jose, CA 95123",San Jose,95123,CA,3,895000,Golden Gate Sotheby's International Realty, $117/mo,919331,https://www.zillow.com/homedetails/6035-Admiralty-Pl-San-Jose-CA-95123/19832279_zpid/,"1,328",3, 2, 1,Not_Found,Not_Found, Yes,0.06, Single Family, No,1994, Public Utilities,81.65," $8,062"," $590,585"
15,"5338 Monterey Hwy APT 6, San Jose, CA 95111",San Jose,95111,CA,2,519000,"Dat Vu, Broker", $317/mo,526632,https://www.zillow.com/homedetails/5338-Monterey-Hwy-APT-6-San-Jose-CA-95111/19816923_zpid/,950,2, 2,Not_Found,Not_Found,Not_Found,Not_Found,0.03, Condo, No,1979, Public Utilities,95.25," $2,347"," $137,814"
16,"482 Tanfield Ln, San Jose, CA 95111",San Jose,95111,CA,3,575000,Intero Real Estate Services, $363/mo,591511,https://www.zillow.com/homedetails/482-Tanfield-Ln-San-Jose-CA-95111/19734353_zpid/,"1,197",2, 1, 1, 1,Not_Found,Not_Found,0.03, Condo, No,1971, Public Utilities,84.05," $5,298"," $318,684"
17,"510 Saddlebrook Dr 347, San Jose, CA 95136",San Jose,95136,CA,3,339900,Advantage Homes,Not_Found,Not_Found,https://www.zillow.com/homedetails/510-Saddlebrook-Dr-347-San-Jose-CA-95136/2077902413_zpid/,"1,512",2, 2,Not_Found,Not_Found, 1,Not_Found,Not_Found, Mobile / Manufactured, No,2019,Not_Found,Not_Found,Not_Found,Not_Found
18,"1422 Bretmoor Way, San Jose, CA 95129",San Jose,95129,CA,5,3850000,Intero Real Estate Services,Not_Found,3944915,https://www.zillow.com/homedetails/1422-Bretmoor-Way-San-Jose-CA-95129/19642717_zpid/,"3,420",6, 5, 1, 2,Not_Found, Yes,0.18, Single Family, No,2020, Public Utilities,89.34," $2,001"," $75,545"
19,"1964 Johnston Ave, San Jose, CA 95125",San Jose,95125,CA,3,1299000,Coldwell Banker Realty,Not_Found,1352041,https://www.zillow.com/homedetails/1964-Johnston-Ave-San-Jose-CA-95125/19686537_zpid/,"1,503",2, 2,Not_Found,Not_Found,Not_Found,Not_Found,0.15, Single Family, No,1950, Public Utilities,93.53," $11,851"," $915,779"
20,"4531 Hampshire Pl, San Jose, CA 95136",San Jose,95136,CA,4,1095000,Intero Real Estate Services,Not_Found,1171709,https://www.zillow.com/homedetails/4531-Hampshire-Pl-San-Jose-CA-95136/19702773_zpid/,"1,860",3, 2, 1, 2,Not_Found, Yes,0.14, Single Family, No,1973, Public Utilities,92.01," $6,156"," $419,946"
21,"3225 Overbrook Dr, San Jose, CA 95118",San Jose,95118,CA,3,1088000,Realcom Associates,Not_Found,1145363,https://www.zillow.com/homedetails/3225-Overbrook-Dr-San-Jose-CA-95118/19697089_zpid/,"1,904",2, 2,Not_Found,Not_Found,Not_Found, Yes,0.15, Single Family, No,1961, Public Utilities,Not_Found," $7,895"," $532,277"
22,"2537 Coconut Dr, San Jose, CA 95148",San Jose,95148,CA,4,899950,Coldwell Banker Realty,Not_Found,951876,https://www.zillow.com/homedetails/2537-Coconut-Dr-San-Jose-CA-95148/19788431_zpid/,"1,554",2, 2,Not_Found, 2,Not_Found,Not_Found,0.13, Single Family, No,1971, Public Utilities,87.65," $2,189"," $68,915"
23,"3087 Marston Way, San Jose, CA 95148",San Jose,95148,CA,4,1399000,Intero Real Estate Services,Not_Found,1448541,https://www.zillow.com/homedetails/3087-Marston-Way-San-Jose-CA-95148/19791585_zpid/,"2,106",3, 3,Not_Found, 2,Not_Found, Yes,0.18, Single Family, No,1983, Public Utilities,90.85," $5,376"," $316,639"
24,"334 Bautista Pl, San Jose, CA 95126",San Jose,95126,CA,2,849888,Intempus Realty, $276/mo,867180,https://www.zillow.com/homedetails/334-Bautista-Pl-San-Jose-CA-95126/89473086_zpid/,"1,335",3, 2, 1, 1,Not_Found,Not_Found,0.04, Condo, No,2008, Public Utilities,94.86," $9,685"," $743,398"
25,"1847 Bethany Ave, San Jose, CA 95132",San Jose,95132,CA,4,1049999,KW Silicon City,Not_Found,1113998,https://www.zillow.com/homedetails/1847-Bethany-Ave-San-Jose-CA-95132/19771913_zpid/,"1,954",3, 3,Not_Found, 2,Not_Found, Yes,0.14, Single Family, No,1973," Public Utilities, Natural Gas",91.26," $9,423"," $669,270"
26,"5192 Emiline Dr, San Jose, CA 95124",San Jose,95124,CA,3,1188000,Intero Real Estate Services,Not_Found,1268045,https://www.zillow.com/homedetails/5192-Emiline-Dr-San-Jose-CA-95124/19675473_zpid/,"1,276",2, 2,Not_Found, 2,Not_Found, Yes,0.15, Single Family, No,1959," Public Utilities, Solar Panels - Owned",94.74," $11,322"," $790,392"
27,"206 Sedona Pl, San Jose, CA 95116",San Jose,95116,CA,4,899000,"Provence Realty, Inc.", $193/mo,905128,https://www.zillow.com/homedetails/206-Sedona-Pl-San-Jose-CA-95116/82958524_zpid/,"2,104",3, 2, 1, 2,Not_Found, Yes,0.05, Single Family, No,2007, Individual Electric Meters,93.25," $8,713"," $646,430"
28,"4425 Norwalk Dr APT 33, San Jose, CA 95129",San Jose,95129,CA,2,578900,Compass, $445/mo,590392,https://www.zillow.com/homedetails/4425-Norwalk-Dr-APT-33-San-Jose-CA-95129/19603100_zpid/,"1,099",2, 1, 1, 1,Not_Found,Not_Found,0.01, Condo, No,1970, Public Utilities,94.94," $7,379"," $553,492"
29,"478 Madison Dr, San Jose, CA 95123",San Jose,95123,CA,3,925000,Diamante Realty,Not_Found,966354,https://www.zillow.com/homedetails/478-Madison-Dr-San-Jose-CA-95123/19822360_zpid/,"1,143",2, 2,Not_Found, 2,Not_Found, Yes,0.14, Single Family, No,1968," Individual Electric Meters, Natural Gas, Individual Gas Meters, Solar Panels - Owned",88.85," $11,329"," $789,663"
