,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"910 Nob Hill Rd, Redwood City, CA 94061",Redwood City,94061,CA,6,3450000,Golden Gate Sotheby's International Realty,Not_Found,3450004,https://www.zillow.com/homedetails/910-Nob-Hill-Rd-Redwood-City-CA-94061/15572130_zpid/,"5,960",6, 4, 2, 0,Not_Found, Yes,0.87, Single Family, No,1910, Public Utilities,86.83," $2,572"," $237,287"
1,"216 Alden St, Redwood City, CA 94063",Redwood City,94063,CA,2,849900,DNH Realty Solutions, $525/mo,861786,https://www.zillow.com/homedetails/216-Alden-St-Redwood-City-CA-94063/15636111_zpid/,"1,026",Not_Found,Not_Found,Not_Found, 0,Not_Found,Not_Found,0.55, Townhouse, No,1978, Individual Electric Meters,Not_Found," $5,299"," $477,543"
2,"3015 E Bayshore Rd SPACE 169, Redwood City, CA 94063",Redwood City,94063,CA,2,165000,Century 21 Real Estate Alliance,Not_Found,171755,https://www.zillow.com/homedetails/3015-E-Bayshore-Rd-SPACE-169-Redwood-City-CA-94063/2077944113_zpid/,800,2, 2,Not_Found, 0,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,1973, Public Utilities,Not_Found,Not_Found,Not_Found
3,"1166 Junipero Ave, Redwood City, CA 94061",Redwood City,94061,CA,3,1498888,Synergy Real Estate Services,Not_Found,1527712,https://www.zillow.com/homedetails/1166-Junipero-Ave-Redwood-City-CA-94061/15574035_zpid/,"1,350",2, 2,Not_Found, 0,Not_Found, Yes,"6,198", Single Family, No,2003, Public Utilities,90.83," $8,279"," $740,568"
4,"351 B St, Redwood City, CA 94063",Redwood City,94063,CA,2,1249000,Compass,Not_Found,1225275,https://www.zillow.com/homedetails/351-B-St-Redwood-City-CA-94063/15563578_zpid/,"1,070",1, 1,Not_Found, 0,Not_Found, Yes,"5,000", Single Family, No,1949, Public Utilities,93.95," $12,967"," $1,173,000"
5,"1737 Alameda De Las Pulgas, Redwood City, CA 94061",Redwood City,94061,CA,3,1449000,"Golden State Fine Homes, Inc",Not_Found,1474260,https://www.zillow.com/homedetails/1737-Alameda-De-Las-Pulgas-Redwood-City-CA-94061/15591634_zpid/,"1,340",1, 1,Not_Found, 0,Not_Found, Yes,"6,050", Single Family, No,1952, Public Utilities,87.63, $984," $93,143"
6,"548 Shorebird Cir UNIT 3203, Redwood City, CA 94065",Redwood City,94065,CA,2,1298000,Rise Homes, $605/mo,1348960,https://www.zillow.com/homedetails/548-Shorebird-Cir-UNIT-3203-Redwood-City-CA-94065/15636397_zpid/,"1,667",2, 2,Not_Found, 0,Not_Found, Yes,7.45, Condo, No,1980, Public Utilities,84.28," $5,248"," $443,848"
7,"1121 Adams St, Redwood City, CA 94061",Redwood City,94061,CA,3,1398000,Aldina Real Estate Company,Not_Found,1423706,https://www.zillow.com/homedetails/1121-Adams-St-Redwood-City-CA-94061/15565858_zpid/,"1,660",3, 3,Not_Found, 2, 2, Yes,"5,000", Single Family, No,1947," Individual Electric Meters, Public Utilities, Individual Gas Meters",94.83," $6,428"," $579,504"
8,"1253 Harrison Ave, Redwood City, CA 94062",Redwood City,94062,CA,3,1585000,Terrace Associates,Not_Found,1646650,https://www.zillow.com/homedetails/1253-Harrison-Ave-Redwood-City-CA-94062/15573672_zpid/,"1,530",2, 2,Not_Found, 0,Not_Found, Yes,"7,509", Single Family, No,1959," Individual Electric Meters, Natural Gas, Individual Gas Meters",78.59," $4,796"," $424,414"
9,"118 Alexander Ave, Redwood City, CA 94061",Redwood City,94061,CA,2,1299000,Compass,Not_Found,1315007,https://www.zillow.com/homedetails/118-Alexander-Ave-Redwood-City-CA-94061/15577640_zpid/,920,1, 1,Not_Found, 0,Not_Found, Yes,"5,100", Single Family, No,1950, Public Utilities,94.83," $9,730"," $795,312"
10,"20 Black Fox Way, Redwood City, CA 94062",Redwood City,94062,CA,4,3798000,Compass, $100/mo,3798594,https://www.zillow.com/homedetails/20-Black-Fox-Way-Redwood-City-CA-94062/15590614_zpid/,"3,820",4, 3, 1, 1,Not_Found, Yes,0.46, Single Family, No,1990, Public Utilities,94.83," $31,443"," $2,849,880"
11,"1219 Hudson St, Redwood City, CA 94061",Redwood City,94061,CA,3,1449000,Coldwell Banker Realty,Not_Found,1463880,https://www.zillow.com/homedetails/1219-Hudson-St-Redwood-City-CA-94061/15566201_zpid/,"1,139",2, 2,Not_Found, 2, 1, Yes,"4,500", Single Family, No,1942, Public Utilities,90.83," $7,315"," $653,062"
12,"878 Hillcrest Dr, Redwood City, CA 94062",Redwood City,94062,CA,5,2599000,Coldwell Banker Realty,Not_Found,2596074,https://www.zillow.com/homedetails/878-Hillcrest-Dr-Redwood-City-CA-94062/15574489_zpid/,"2,970",4, 3, 1, 0,Not_Found, Yes,0.40, Single Family, No,1974, Public Utilities,94.59," $9,645"," $744,944"
13,"607 Hawes St, Redwood City, CA 94061",Redwood City,94061,CA,3,1498000,Compass,Not_Found,1538818,https://www.zillow.com/homedetails/607-Hawes-St-Redwood-City-CA-94061/15573869_zpid/,"1,550",3, 2, 1, 1,Not_Found, Yes,"3,402", Single Family, No,1930, Public Utilities,94.83," $1,577"," $140,016"
14,"2014 Hastings Shore Ln 212, Redwood City, CA 94065",Redwood City,94065,CA,2,968000,Coldwell Banker Realty, $578/mo,968008,https://www.zillow.com/homedetails/2014-Hastings-Shore-Ln-212-Redwood-City-CA-94065/15638234_zpid/,"1,012",2, 2,Not_Found, 0,Not_Found, Yes,3.87, Condo, No,1995, Public Utilities,88.28," $8,639"," $756,323"
15,"217 Bradbury Ln, Redwood City, CA 94061",Redwood City,94061,CA,4,1799000,Fireside Realty, $180/mo,1774932,https://www.zillow.com/homedetails/217-Bradbury-Ln-Redwood-City-CA-94061/15578412_zpid/,"2,150",3, 2, 1, 0,Not_Found, Yes,"3,998", Single Family, No,1989," Individual Electric Meters, Public Utilities, Individual Gas Meters",94.83," $12,702"," $1,148,980"
16,"1601 Kentfield Ave, Redwood City, CA 94061",Redwood City,94061,CA,3,1648000,Sequoia Realty Services, $94/mo,1650208,https://www.zillow.com/homedetails/1601-Kentfield-Ave-Redwood-City-CA-94061/119686408_zpid/,"1,589",3, 2, 1, 0,Not_Found,Not_Found,"2,617", Single Family, No,2013," Individual Electric Meters, Public Utilities, Individual Gas Meters",83.63," $11,174"," $1,003,307"
17,"998 Governors Bay Dr, Redwood City, CA 94065",Redwood City,94065,CA,5,2650000,Remax Capital, $220/mo,2607822,https://www.zillow.com/homedetails/998-Governors-Bay-Dr-Redwood-City-CA-94065/15618328_zpid/,"3,040",3, 3,Not_Found, 0,Not_Found, Yes,"5,026", Single Family, No,1994, Public Utilities,94.68," $16,573"," $1,463,753"
18,"753 Brewster Ave, Redwood City, CA 94063",Redwood City,94063,CA,2,1449999,Golden Gate Sotheby's International Realty, $570/mo,1453051,https://www.zillow.com/homedetails/753-Brewster-Ave-Redwood-City-CA-94063/2079148515_zpid/,"1,576",4, 3, 1, 0,Not_Found,Not_Found,561, Townhouse, No,2016, Public Utilities,86.75,Not_Found,Not_Found
19,"4028 Farm Hill Blvd APT 2, Redwood City, CA 94061",Redwood City,94061,CA,2,989000,Coldwell Banker Realty, $53/mo,989001,https://www.zillow.com/homedetails/4028-Farm-Hill-Blvd-APT-2-Redwood-City-CA-94061/15634438_zpid/,"1,016",2, 1, 1, 0,Not_Found, Yes,6.58, Condo, No,1973, Public Utilities,94.83," $6,117"," $551,786"
20,"13 Woodleaf Ave, Redwood City, CA 94061",Redwood City,94061,CA,6,4350000,"Mahnaz Westerberg, Broker", $130/mo,4270112,https://www.zillow.com/homedetails/13-Woodleaf-Ave-Redwood-City-CA-94061/15590529_zpid/,"5,225",6, 5, 1, 3,Not_Found, Yes,0.28, Single Family, No,1982, Public Utilities,94.83," $30,259"," $2,742,458"
21,"1415 Regent St APT 3, Redwood City, CA 94061",Redwood City,94061,CA,2,698000,Intero Real Estate Services, $300/mo,737183,https://www.zillow.com/homedetails/1415-Regent-St-APT-3-Redwood-City-CA-94061/2078171843_zpid/,927,1, 1,Not_Found, 0,Not_Found,Not_Found,Not_Found, Condo, No,1962, Public Utilities,87.63,Not_Found,Not_Found
22,"413 Cork Harbour Cir E, Redwood City, CA 94065",Redwood City,94065,CA,1,798000,Coldwell Banker Realty, $473/mo,Not_Found,https://www.zillow.com/homedetails/413-Cork-Harbour-Cir-E-Redwood-City-CA-94065/2077743431_zpid/,764,1, 1,Not_Found, 0,Not_Found, Yes,Not_Found, Condo, No,1985, Public Utilities,Not_Found,Not_Found,Not_Found
