,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"1500 Rio Verde Cir, Bay Point, CA 94565",Bay Point,94565,CA,5,795870,HomeCoin.com,Not_Found,Not_Found,https://www.zillow.com/homedetails/1500-Rio-Verde-Cir-Bay-Point-CA-94565/59399093_zpid/,"3,612",5, 4, 1, 2, 2,Not_Found,"6,006", Single Family, No,2007, Natural Gas Connected,85.12," $7,198"," $404,222"
1,"195 Sandpiper Dr, Pittsburg, CA 94565",Pittsburg,94565,CA,3,473618,Auction.com, $131/mo,473618,https://www.zillow.com/homedetails/195-Sandpiper-Dr-Pittsburg-CA-94565/18322634_zpid/,"1,740",Not_Found,Not_Found,Not_Found, 0, Two Story,Not_Found,"5,227", Single Family, No,1991,Not_Found,79.57," $5,833"," $440,000"
2,"2451 Vallarta Dr, Bay Point, CA 94565",Bay Point,94565,CA,5,699900,Millennium Homes Realty,Not_Found,660001,https://www.zillow.com/homedetails/2451-Vallarta-Dr-Bay-Point-CA-94565/111414911_zpid/,"2,512",3, 3,Not_Found, 2, Two Story,Not_Found,"5,131", Single Family, No,2012,Not_Found,90.72," $8,268"," $411,201"
3,"Buildable plan Buckley, Liberty, Pittsburg, CA 94565",Pittsburg,94565,CA,4,620000,Discovery Homes,Not_Found,Not_Found,https://www.zillow.com/community/liberty/2081500075_zpid/,"1,955",3, 2, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
4,"1983 Cardiff Dr, Pittsburg, CA 94565",Pittsburg,94565,CA,3,410000,COMPASS, $137/mo,424609,https://www.zillow.com/homedetails/1983-Cardiff-Dr-Pittsburg-CA-94565/18315544_zpid/,"1,143",2, 2,Not_Found, 2,Not_Found,Not_Found,"5,505", Single Family, No,1985,Not_Found,76.37," $2,521"," $157,647"
5,"3777 Willow Pass Rd TRAILER 46, Bay Point, CA 94565",Bay Point,94565,CA,4,209900,Realty World-Todd Su & Company,Not_Found,209900,https://www.zillow.com/homedetails/3777-Willow-Pass-Rd-TRAILER-46-Bay-Point-CA-94565/166399290_zpid/,"1,500",2, 2,Not_Found, 0,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,2014, Public Utilities,Not_Found, $730," $72,600"
6,"Buildable plan Avalon, Liberty, Pittsburg, CA 94565",Pittsburg,94565,CA,3,600000,Discovery Homes,Not_Found,Not_Found,https://www.zillow.com/community/liberty/2081500073_zpid/,"1,814",3, 2, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
7,"3777 Willow Pass Rd 8, Pittsburg, CA 94565",Pittsburg,94565,CA,3,225000,"TOM DECKER, BROKER",Not_Found,225002,https://www.zillow.com/homedetails/3777-Willow-Pass-Rd-8-Pittsburg-CA-94565/2079596905_zpid/,"1,380",2, 2,Not_Found, 2,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
8,"25 Vallarta Ct, Bay Point, CA 94565",Bay Point,94565,CA,5,680000,Venture Sotheby's Intl Rlty,Not_Found,680749,https://www.zillow.com/homedetails/25-Vallarta-Ct-Bay-Point-CA-94565/111189151_zpid/,"2,075",3, 3,Not_Found, 2, One Story,Not_Found,"7,679", Single Family, No,2010,Not_Found,79.52," $9,555"," $531,664"
9,"Buildable plan Canon, Liberty, Pittsburg, CA 94565",Pittsburg,94565,CA,4,634000,Discovery Homes,Not_Found,Not_Found,https://www.zillow.com/community/liberty/2081500074_zpid/,"1,987",3, 2, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
10,"Buildable plan Delta, Liberty, Pittsburg, CA 94565",Pittsburg,94565,CA,5,675000,Discovery Homes,Not_Found,Not_Found,https://www.zillow.com/community/liberty/2081500076_zpid/,"2,487",4, 3, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
11,"1000 Harbor St, Pittsburg, CA 94565",Pittsburg,94565,CA,Great,159000,Excel Realty,Not_Found,Not_Found,https://www.zillow.com/homedetails/1000-Harbor-St-Pittsburg-CA-94565/2086843105_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,83.57,Not_Found,Not_Found
12,"192 Kona Cir, Pittsburg, CA 94565",Pittsburg,94565,CA,3,120000,BLUE LINE REAL ESTATE,Not_Found,2700,https://www.zillow.com/homedetails/192-Kona-Cir-Pittsburg-CA-94565/2085613311_zpid/,"1,536",2, 2,Not_Found, 2,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
13,"681 Azores Cir, Bay Point, CA 94565",Bay Point,94565,CA,4,506489,Auction.com, $330/mo,506489,https://www.zillow.com/homedetails/681-Azores-Cir-Bay-Point-CA-94565/18337971_zpid/,"1,557",3,Not_Found,Not_Found, 0, 2,Not_Found,"5,227", Single Family, No,1986,Not_Found,76.32," $5,041"," $388,934"
14,"39 Roy Ln 39, Bay Point, CA 94565",Bay Point,94565,CA,2,179900,Realty World-Todd Su & Company,Not_Found,179900,https://www.zillow.com/homedetails/39-Roy-Ln-39-Bay-Point-CA-94565/2081167140_zpid/,"1,014",2, 2,Not_Found, 0,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,1989, Public Utilities,Not_Found,Not_Found,Not_Found
15,"Buildable plan Coming Soon, Retreat at Vista Del Mar, Pittsburg, CA 94565",Pittsburg,94565,CA,0,Not_Found,Taylor Morrison,Not_Found,Not_Found,https://www.zillow.com/community/retreat-at-vista-del-mar/2078204840_zpid/,Not_Found,0,Not_Found,Not_Found, 0,Not_Found,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
16,"Harbor St, Pittsburg, CA 94565",Pittsburg,94565,CA,Pittsburg,159000,Excel Realty,Not_Found,Not_Found,https://www.zillow.com/homedetails/Harbor-St-Pittsburg-CA-94565/2086843298_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
17,"64 Loftus Rd, Bay Point, CA 94565",Bay Point,94565,CA,0,599999,Starriver Inc,Not_Found,600003,https://www.zillow.com/homedetails/64-Loftus-Rd-Bay-Point-CA-94565/18331834_zpid/,"2,312",0,Not_Found,Not_Found, 0,Not_Found,Not_Found,0.28, Multiple Occupancy, No,1929, Public Utilities,85.92," $5,085"," $320,000"
18,"148 Gibson Ave, Bay Point, CA 94565",Bay Point,94565,CA,3,542500,Ayala Realty & Investments Inc,Not_Found,542543,https://www.zillow.com/homedetails/148-Gibson-Ave-Bay-Point-CA-94565/67698546_zpid/,"1,747",Not_Found,Not_Found,Not_Found, 2,Not_Found,Not_Found,"2,896", Single Family, No,2004,Not_Found,84.32," $5,634"," $408,000"
19,"172 W 10th St, Pittsburg, CA 94565",Pittsburg,94565,CA,Great,150000,Keller Williams Realty,Not_Found,648170,https://www.zillow.com/homedetails/172-W-10th-St-Pittsburg-CA-94565/18322167_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,84.37, $737," $52,020"
20,"Buildable plan Donato, Positano at San Marco, Pittsburg, CA 94565",Pittsburg,94565,CA,5,790000,Seeno Homes,Not_Found,Not_Found,https://www.zillow.com/community/positano-at-san-marco/2092402562_zpid/,"2,806",3, 3,Not_Found, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
21,"81 Bayview Ave, Bay Point, CA 94565",Bay Point,94565,CA,for,295000,Intero Real Estate Services,Not_Found,Not_Found,https://www.zillow.com/homedetails/81-Bayview-Ave-Bay-Point-CA-94565/95036558_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found, Public Utilities,76.32," $1,356"," $102,000"
22,"Buildable plan Carina, Positano at San Marco, Pittsburg, CA 94565",Pittsburg,94565,CA,5,805000,Seeno Homes,Not_Found,Not_Found,https://www.zillow.com/community/positano-at-san-marco/2092402561_zpid/,"2,770",3, 3,Not_Found, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
23,"25 Highway Ave, Bay Point, CA 94565",Bay Point,94565,CA,for,350000,HERITAGE REI INC.,Not_Found,Not_Found,https://www.zillow.com/homedetails/25-Highway-Ave-Bay-Point-CA-94565/95402754_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found," Natural Gas Connected, Electricity Connected, Water Connected",Not_Found, $190," $5,459"
