,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"833 Keeler Ave, Berkeley, CA 94708",Berkeley,94708,CA,2,988000,Engel & Volkers Beverly HIlls,Not_Found,3500,https://www.zillow.com/homedetails/833-Keeler-Ave-Berkeley-CA-94708/24848543_zpid/,"1,120",1, 1,Not_Found, 2, 2, Yes,0.17, Single Family, No,1950,Not_Found,78.55," $4,515"," $173,636"
1,"1336 Berkeley Way, Berkeley, CA 94702",Berkeley,94702,CA,2,769000,RED OAK REALTY,Not_Found,953290,https://www.zillow.com/homedetails/1336-Berkeley-Way-Berkeley-CA-94702/24837499_zpid/,"1,382",1, 1,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found, Condo, No,1906,Not_Found,90.63," $3,786"," $157,097"
2,"965 Hilldale Ave, Berkeley, CA 94708",Berkeley,94708,CA,5,1699000,Inhabit East Bay,Not_Found,1699013,https://www.zillow.com/homedetails/965-Hilldale-Ave-Berkeley-CA-94708/24849043_zpid/,"3,425",4, 4,Not_Found, 1,Not_Found, Yes,0.12, Single Family, No,1930,Not_Found,86.55," $22,026"," $1,400,593"
3,"1096 Keith Ave, Berkeley, CA 94708",Berkeley,94708,CA,3,1348000,Keller Williams Realty - Cupertino,Not_Found,1382669,https://www.zillow.com/homedetails/1096-Keith-Ave-Berkeley-CA-94708/24849392_zpid/,"1,736",2, 2,Not_Found,Not_Found, 2, Yes,0.09, Single Family, No,1940, Public Utilities,92.15," $3,441"," $90,554"
4,"680 The Alameda, Berkeley, CA 94707",Berkeley,94707,CA,4,2389000,COMPASS,Not_Found,2181495,https://www.zillow.com/homedetails/680-The-Alameda-Berkeley-CA-94707/24847008_zpid/,"3,754",4, 3, 1, 2,Not_Found,Not_Found,0.1, Single Family, No,1936,Not_Found,89.87," $12,791"," $707,388"
5,"2933 Stanton St, Berkeley, CA 94702",Berkeley,94702,CA,8,899000,Ackerman Realty Group,Not_Found,965897,https://www.zillow.com/homedetails/2933-Stanton-St-Berkeley-CA-94702/24830618_zpid/,"2,664",4, 4,Not_Found,Not_Found, 2,Not_Found,0.09, Multiple Occupancy, No,1944,Not_Found,94.63," $28,696"," $894,861"
6,"285 The Uplands, Berkeley, CA 94705",Berkeley,94705,CA,3,2545000,THE GRUBB CO. INC.,Not_Found,2545006,https://www.zillow.com/homedetails/285-The-Uplands-Berkeley-CA-94705/24850237_zpid/,"3,265",4, 3, 1, 1,Not_Found,Not_Found,0.27, Single Family, No,1939,Not_Found,94.39," $23,371"," $1,579,441"
7,"2 Panoramic Way APT 306, Berkeley, CA 94704",Berkeley,94704,CA,2,699000,PRIME METROPOLIS PROPERTIESINC, $464/mo,699004,https://www.zillow.com/homedetails/2-Panoramic-Way-APT-306-Berkeley-CA-94704/24834421_zpid/,715,1, 1,Not_Found, 1,Not_Found,Not_Found,0.18, Condo, No,1967,Not_Found,86.63," $3,677"," $192,887"
8,"101 Tunnel Rd, Berkeley, CA 94705",Berkeley,94705,CA,3,1628000,FORMALITY REAL ESTATE,Not_Found,1699290,https://www.zillow.com/homedetails/101-Tunnel-Rd-Berkeley-CA-94705/24850146_zpid/,"1,743",2, 2,Not_Found, 1,Not_Found,Not_Found,0.14, Single Family, No,1920,Not_Found,73.59," $6,020"," $228,929"
9,"2328 Le Conte Ave, Berkeley, CA 94709",Berkeley,94709,CA,3,1295000,RED OAK REALTY, $150/mo,1210552,https://www.zillow.com/homedetails/2328-Le-Conte-Ave-Berkeley-CA-94709/58877727_zpid/,"1,500",2, 2,Not_Found, 1,Not_Found,Not_Found,Not_Found, Condo, No,1937,Not_Found,93.83," $13,803"," $936,360"
