,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"525523 4th Ave, San Bruno, CA 94066",San Bruno,94066,CA,0,1398000,Berkshire Hathaway Home Services California Realty,Not_Found,1375329,https://www.zillow.com/homedetails/525-523-4th-Ave-San-Bruno-CA-94066/2079602477_zpid/,"2,860",0,Not_Found,Not_Found, 0,Not_Found,Not_Found,"5,000", Multiple Occupancy, No,1939," Public Utilities, Individual Electric Meters",Not_Found,Not_Found,Not_Found
1,"2329 Shelter Creek Ln, San Bruno, CA 94066",San Bruno,94066,CA,1,515000,Coldwell Banker Realty, $391/mo,515003,https://www.zillow.com/homedetails/2329-Shelter-Creek-Ln-San-Bruno-CA-94066/15623712_zpid/,680,1, 1,Not_Found, 0,Not_Found,Not_Found,38.56, Condo, No,1972, Public Utilities,Not_Found," $4,902"," $435,093"
2,"500 Sylvan Ave, San Bruno, CA 94066",San Bruno,94066,CA,for,1850000,Coldwell Banker Realty,Not_Found,3200,https://www.zillow.com/homedetails/500-Sylvan-Ave-San-Bruno-CA-94066/2092374591_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found," Gas - Available at Street, Electricity - On Site",93.4,Not_Found,Not_Found
3,"7325 Shelter Creek Ln, San Bruno, CA 94066",San Bruno,94066,CA,1,538000,Century 21 Realty Alliance, $387/mo,538293,https://www.zillow.com/homedetails/7325-Shelter-Creek-Ln-San-Bruno-CA-94066/15624516_zpid/,680,1, 1,Not_Found, 0,Not_Found,Not_Found,38.56, Condo, No,1972, Public Utilities,87.8," $2,686"," $243,342"
4,"166 Oxford Ln, San Bruno, CA 94066",San Bruno,94066,CA,0,1588000,Berkshire Hathaway Home Services California Realty, $108/mo,1562606,https://www.zillow.com/homedetails/166-Oxford-Ln-San-Bruno-CA-94066/15495449_zpid/,"4,090",0,Not_Found,Not_Found, 0,Not_Found,Not_Found,"2,805", Multiple Occupancy, No,1966, Public Utilities,Not_Found," $6,918"," $613,642"
5,"1042 Montgomery Ave, San Bruno, CA 94066",San Bruno,94066,CA,0,1299000,Intero Real Estate Services,Not_Found,1153321,https://www.zillow.com/homedetails/1042-Montgomery-Ave-San-Bruno-CA-94066/15488976_zpid/,"1,800",0,Not_Found,Not_Found, 0,Not_Found,Not_Found,"5,000", Multiple Occupancy, No,1950," Individual Electric Meters, Individual Gas Meters",87.0, $979," $80,386"
6,"165 Santa Helena Ave, San Bruno, CA 94066",San Bruno,94066,CA,0,1800000,Lehr Real Estate,Not_Found,1771204,https://www.zillow.com/homedetails/165-Santa-Helena-Ave-San-Bruno-CA-94066/15501000_zpid/,"4,040",0,Not_Found,Not_Found, 0,Not_Found, Yes,"4,917", Multiple Occupancy, No,1930," Public Utilities, Individual Electric Meters, Individual Gas Meters",94.2," $6,528"," $579,758"
7,"850 El Camino Real, San Bruno, CA 94066",San Bruno,94066,CA,Great,13000000,Keller Williams East County,Not_Found,Not_Found,https://www.zillow.com/homedetails/850-El-Camino-Real-San-Bruno-CA-94066/2077837291_zpid/,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found,87.0,Not_Found,Not_Found
8,"105 Piccadilly Pl APT D, San Bruno, CA 94066",San Bruno,94066,CA,0,435000,Compass, $306/mo,443446,https://www.zillow.com/homedetails/105-Piccadilly-Pl-APT-D-San-Bruno-CA-94066/15622750_zpid/,450,1, 1,Not_Found, 0,Not_Found,Not_Found,3.40, Condo, No,1971, Public Utilities,80.6," $2,784"," $245,151"
9,"145 Lake Dr, San Bruno, CA 94066",San Bruno,94066,CA,4,1567638,Berkshire Hathaway Home Services California Realty,Not_Found,1567638,https://www.zillow.com/homedetails/145-Lake-Dr-San-Bruno-CA-94066/15492718_zpid/,"2,390",Not_Found,Not_Found,Not_Found, 0,Not_Found,Not_Found,"6,229", Single Family,Not_Found,1964,Not_Found,92.6," $12,578"," $1,127,772"
10,"837 6th Ave, San Bruno, CA 94066",San Bruno,94066,CA,2,788494,Coldwell Banker Realty,Not_Found,788494,https://www.zillow.com/homedetails/837-6th-Ave-San-Bruno-CA-94066/15496863_zpid/,760,1,Not_Found,Not_Found, 0, 1,Not_Found,"2,482", Single Family,Not_Found,1940,Not_Found,95.0," $8,679"," $771,000"
11,"764 Linden Ave, San Bruno, CA 94066",San Bruno,94066,CA,2,986510,Coldwell Banker Realty,Not_Found,986510,https://www.zillow.com/homedetails/764-Linden-Ave-San-Bruno-CA-94066/15496008_zpid/,"1,000",1,Not_Found,Not_Found, 0,Not_Found,Not_Found,"5,227", Single Family,Not_Found,1945,Not_Found,90.2," $7,608"," $681,880"
