,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"3810 Coronado Way, San Bruno, CA 94066",San Bruno,94066,CA,3,999000,KW Peninsula Estates,Not_Found,1022030,https://www.zillow.com/homedetails/3810-Coronado-Way-San-Bruno-CA-94066/15490314_zpid/,"1,160",2, 2,Not_Found, 0,Not_Found, Yes,"5,201", Single Family, No,1959, Public Utilities,89.4," $9,847"," $882,760"
1,"3491 Fleetwood Dr, San Bruno, CA 94066",San Bruno,94066,CA,4,1649000,Sequoia Real Estate,Not_Found,1720789,https://www.zillow.com/homedetails/3491-Fleetwood-Dr-San-Bruno-CA-94066/15491872_zpid/,"2,190",3,Not_Found,Not_Found, 0,Not_Found, Yes,0.28, Single Family, No,1964,Not_Found,95.0," $6,748"," $625,930"
2,"3005 Longview Dr, San Bruno, CA 94066",San Bruno,94066,CA,5,1680000,Berkshire Hathaway Home Services California Realty, $123/mo,1727506,https://www.zillow.com/homedetails/3005-Longview-Dr-San-Bruno-CA-94066/52393824_zpid/,"2,870",4, 4,Not_Found, 2,Not_Found," Living Room, Wood Burning, 1","10,088", Single Family, No,1999, Public Utilities,94.2," $16,940"," $1,518,983"
3,"608 2nd Ave, San Bruno, CA 94066",San Bruno,94066,CA,2,935000,Rational Real Estate,Not_Found,679920,https://www.zillow.com/homedetails/608-2nd-Ave-San-Bruno-CA-94066/111437527_zpid/,970,1, 1,Not_Found, 0,Not_Found, Yes,"3,750", Single Family, No,1947," Individual Electric Meters, Individual Gas Meters",92.6," $1,981"," $177,128"
4,"306 Palomar Ct, San Bruno, CA 94066",San Bruno,94066,CA,4,1380000,Gilmartin Group,Not_Found,1424000,https://www.zillow.com/homedetails/306-Palomar-Ct-San-Bruno-CA-94066/15498514_zpid/,"1,810",2, 2,Not_Found, 2,Not_Found, Yes,"5,950", Single Family, No,1956, Public Utilities,93.4, $72," $919,926"
5,"627 6th Ave, San Bruno, CA 94066",San Bruno,94066,CA,2,799000,Keller Williams San Francisco,Not_Found,818487,https://www.zillow.com/homedetails/627-6th-Ave-San-Bruno-CA-94066/15496959_zpid/,720,1,Not_Found,Not_Found, 0,Not_Found, Yes,"2,500", Single Family, No,1957,Not_Found,85.4, $643," $57,105"
6,"743 Pepper Dr, San Bruno, CA 94066",San Bruno,94066,CA,3,1200000,Coldwell Banker Realty,Not_Found,1257763,https://www.zillow.com/homedetails/743-Pepper-Dr-San-Bruno-CA-94066/15495518_zpid/,"1,140",1, 1,Not_Found, 2,Not_Found, Yes,"5,501", Single Family, No,1953, Public Utilities,93.4," $9,284"," $832,280"
7,"3031 Fasman Dr, San Bruno, CA 94066",San Bruno,94066,CA,7,1598000,Lehr Real Estate,Not_Found,1619306,https://www.zillow.com/homedetails/3031-Fasman-Dr-San-Bruno-CA-94066/15491702_zpid/,"3,334",4, 4,Not_Found, 0,Not_Found, Yes,"6,089", Single Family, No,1960, Public Utilities,95.0," $2,462"," $220,307"
8,"1055 Jenevein Ave, San Bruno, CA 94066",San Bruno,94066,CA,4,1200000,"Omarshall, Inc",Not_Found,1258679,https://www.zillow.com/homedetails/1055-Jenevein-Ave-San-Bruno-CA-94066/15498194_zpid/,"2,348",2, 1, 1, 0,Not_Found, Yes,"5,000", Single Family, No,1925, Public Utilities,87.8," $1,466"," $130,996"
9,"160 Castleton Way, San Bruno, CA 94066",San Bruno,94066,CA,4,1375000,BHHS California Realty,Not_Found,1403505,https://www.zillow.com/homedetails/160-Castleton-Way-San-Bruno-CA-94066/15492637_zpid/,"1,601",3,Not_Found,Not_Found, 0, 1,Not_Found,"5,000", Single Family, No,1963,Not_Found,93.4," $2,158"," $193,056"
10,"710 Pine St, San Bruno, CA 94066",San Bruno,94066,CA,4,999888,Keller Williams Realty Central Valley,Not_Found,1052732,https://www.zillow.com/homedetails/710-Pine-St-San-Bruno-CA-94066/15496945_zpid/,"1,390",2, 1, 1, 0, 1, Yes,"5,000", Single Family, No,1940,Not_Found,75.0," $3,978"," $356,264"
11,"421 Cypress Ave, San Bruno, CA 94066",San Bruno,94066,CA,3,1098000,Compass,Not_Found,1119396,https://www.zillow.com/homedetails/421-Cypress-Ave-San-Bruno-CA-94066/15498179_zpid/,"1,070",3, 2, 1, 0,Not_Found,Not_Found,"2,500", Single Family, No,1966, Public Utilities,93.4," $7,493"," $671,624"
12,"1623 Hickory Ave, San Bruno, CA 94066",San Bruno,94066,CA,4,1350000,"Omarshall, Inc",Not_Found,1398777,https://www.zillow.com/homedetails/1623-Hickory-Ave-San-Bruno-CA-94066/15495567_zpid/,"1,820",2, 2,Not_Found, 0,Not_Found, Yes,"5,702", Single Family, No,1951, Public Utilities,93.4," $1,395"," $117,551"
13,"2796 Fleetwood Dr, San Bruno, CA 94066",San Bruno,94066,CA,5,1495422,Auction.com,Not_Found,1495422,https://www.zillow.com/homedetails/2796-Fleetwood-Dr-San-Bruno-CA-94066/121652186_zpid/,"2,140",3,Not_Found,Not_Found, 2, 1,Not_Found,"10,454", Single Family, No,1955,Not_Found,93.4," $8,784"," $780,440"
14,"472 Linden Ave, San Bruno, CA 94066",San Bruno,94066,CA,3,1270000,Sotheby's International Realty,Not_Found,1324009,https://www.zillow.com/homedetails/472-Linden-Ave-San-Bruno-CA-94066/317270737_zpid/,"1,443",2,Not_Found,Not_Found, 0,Not_Found,Not_Found,"3,663", Single Family, No,1958,Not_Found,82.2," $9,560"," $850,000"
15,"1217 Shelter Creek Ln, San Bruno, CA 94066",San Bruno,94066,CA,2,710000,Rex Real Estate Exchange, $466/mo,658781,https://www.zillow.com/homedetails/1217-Shelter-Creek-Ln-San-Bruno-CA-94066/15623487_zpid/,"1,000",2,Not_Found,Not_Found, 2,Not_Found,Not_Found,38.56, Condo, No,1972, Public Utilities,78.2," $7,465"," $665,000"
16,"220 San Anselmo Ave N, San Bruno, CA 94066",San Bruno,94066,CA,2,1149000,KW Peninsula Estates,Not_Found,1205246,https://www.zillow.com/homedetails/220-San-Anselmo-Ave-N-San-Bruno-CA-94066/15499089_zpid/,"1,360",1, 1,Not_Found, 0,Not_Found, Yes,"5,000", Single Family, No,1930, Public Utilities,Not_Found," $11,020"," $988,000"
17,"229 Miraluna Dr, San Bruno, CA 94066",San Bruno,94066,CA,4,1850000,D.R. Horton - Bay Area,Not_Found,Not_Found,https://www.zillow.com/homedetails/229-Miraluna-Dr-San-Bruno-CA-94066/2077782856_zpid/,"2,460",4, 3, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,2020,Not_Found,Not_Found,Not_Found,Not_Found
18,"4104 Shelter Creek Ln, San Bruno, CA 94066",San Bruno,94066,CA,1,488000,SkyGroup Realty Inc., $397/mo,498992,https://www.zillow.com/homedetails/4104-Shelter-Creek-Ln-San-Bruno-CA-94066/15623906_zpid/,680,1,Not_Found,Not_Found, 1, 1,Not_Found,38.56, Condo, No,1972,Not_Found,95.0," $3,847"," $340,451"
19,"3145 Shelter Creek Ln, San Bruno, CA 94066",San Bruno,94066,CA,1,498000,eXp Realty of California Inc., $388/mo,499122,https://www.zillow.com/homedetails/3145-Shelter-Creek-Ln-San-Bruno-CA-94066/15623782_zpid/,680,1, 1,Not_Found, 0,Not_Found,Not_Found,38.56, Condo, No,1972, Public Utilities,Not_Found," $3,781"," $341,529"
20,"600 Acacia Ave, San Bruno, CA 94066",San Bruno,94066,CA,2,1099000,Compass,Not_Found,1099084,https://www.zillow.com/homedetails/600-Acacia-Ave-San-Bruno-CA-94066/15496189_zpid/,960,1, 1,Not_Found, 0, 1,Not_Found,"5,140", Single Family, No,1942,Not_Found,93.4, $691," $61,454"
