,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"767 Prairie Creek Dr, Pacifica, CA 94044",Pacifica,94044,CA,4,1095000,Compass,Not_Found,1137876,https://www.zillow.com/homedetails/767-Prairie-Creek-Dr-Pacifica-CA-94044/15504155_zpid/,"1,407",2, 2,Not_Found, 0,Not_Found, Yes,"5,301", Single Family, No,1971, Public Utilities,94.34," $11,050"," $780,226"
1,"239 Bayberry Cir, Pacifica, CA 94044",Pacifica,94044,CA,4,1198000,Redfin, $150/mo,1253594,https://www.zillow.com/homedetails/239-Bayberry-Cir-Pacifica-CA-94044/82949618_zpid/,"2,124",3, 3,Not_Found, 0,Not_Found, Yes,"3,358", Single Family, No,2007, Public Utilities,94.32," $14,119"," $1,132,200"
2,"131 Carmel Ave, Pacifica, CA 94044",Pacifica,94044,CA,1,880888,Compass,Not_Found,947351,https://www.zillow.com/homedetails/131-Carmel-Ave-Pacifica-CA-94044/15489076_zpid/,905,1, 1,Not_Found, 0, One Story,Not_Found,"2,879", Single Family, No,1939,Not_Found,71.12," $4,548"," $165,936"
3,"1231 Terra Nova Blvd, Pacifica, CA 94044",Pacifica,94044,CA,2,720000,RE/MAX Star Properties, $350/mo,733213,https://www.zillow.com/homedetails/1231-Terra-Nova-Blvd-Pacifica-CA-94044/15508375_zpid/,960,2, 1, 1, 1, 2,Not_Found,718, Townhouse, No,1970, Public Utilities,94.34," $8,884"," $673,200"
4,"376 Fairway Dr, Pacifica, CA 94044",Pacifica,94044,CA,2,1125000,Coldwell Banker Realty,Not_Found,1158071,https://www.zillow.com/homedetails/376-Fairway-Dr-Pacifica-CA-94044/15493214_zpid/,"1,450",2, 2,Not_Found, 0,Not_Found, Yes,"5,000", Single Family, No,1955," Individual Electric Meters, Public Utilities, Individual Gas Meters",94.32," $8,611"," $621,358"
5,"1422 Serra Dr, Pacifica, CA 94044",Pacifica,94044,CA,3,999000,Eccleston Incorporated,Not_Found,1070654,https://www.zillow.com/homedetails/1422-Serra-Dr-Pacifica-CA-94044/15506435_zpid/,"1,040",2, 2,Not_Found, 0,Not_Found, Yes,"5,305", Single Family, No,1955, Public Utilities,91.14," $5,828"," $416,354"
6,"46 San Jose Ave, Pacifica, CA 94044",Pacifica,94044,CA,4,1398000,Keller Williams Realty Peninsula Estates,Not_Found,1421465,https://www.zillow.com/homedetails/46-San-Jose-Ave-Pacifica-CA-94044/15489419_zpid/,"2,010",2, 2,Not_Found, 0,Not_Found,Not_Found,"4,051", Single Family, No,1948, Public Utilities,88.72," $8,377"," $613,282"
7,"1267 Rosita Rd, Pacifica, CA 94044",Pacifica,94044,CA,2,759000,Vanguard Properties, $440/mo,764065,https://www.zillow.com/homedetails/1267-Rosita-Rd-Pacifica-CA-94044/15508439_zpid/,"1,150",Not_Found,Not_Found,Not_Found, 0, 2,Not_Found,"1,001", Condo, No,1973,Not_Found,71.14," $7,503"," $561,000"
8,"1232 Terra Nova Blvd, Pacifica, CA 94044",Pacifica,94044,CA,2,724888,RE/MAX Star Properties, $350/mo,740371,https://www.zillow.com/homedetails/1232-Terra-Nova-Blvd-Pacifica-CA-94044/15504499_zpid/,960,2, 1, 1, 0,Not_Found,Not_Found,766, Townhouse, No,1970, Public Utilities,86.34," $8,703"," $655,452"
9,"1451 Serra Dr, Pacifica, CA 94044",Pacifica,94044,CA,3,1148888,"Home Sales Team, Inc.",Not_Found,1171289,https://www.zillow.com/homedetails/1451-Serra-Dr-Pacifica-CA-94044/15506428_zpid/,"1,530",2, 2,Not_Found, 0,Not_Found, Yes,"5,301", Single Family, No,1955, Public Utilities,94.34," $2,173"," $105,019"
