,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
0,"1145 Alta Vista Pl, Brentwood, CA 94513",Brentwood,94513,CA,4,789999,REALTY ONE GROUP ELITE, $119/mo,791295,https://www.zillow.com/homedetails/1145-Alta-Vista-Pl-Brentwood-CA-94513/95455759_zpid/,"2,991",3, 3,Not_Found, 3,Not_Found,Not_Found,"7,792", Single Family, No,2012,Not_Found,85.34," $9,214"," $513,310"
1,"1900 Chambers Cir, Brentwood, CA 94513",Brentwood,94513,CA,5,1999000,Paragon, $184/mo,1999009,https://www.zillow.com/homedetails/1900-Chambers-Cir-Brentwood-CA-94513/68032243_zpid/,"5,597",5, 4, 1, 3, Other,Not_Found,0.42, Single Family, No,2004,Not_Found,83.74," $16,120"," $1,385,000"
2,"620 Baldwin Dr, Brentwood, CA 94513",Brentwood,94513,CA,2,599900,DUDUM REAL ESTATE GROUP INC., $125/mo,599902,https://www.zillow.com/homedetails/620-Baldwin-Dr-Brentwood-CA-94513/50915249_zpid/,"2,156",3, 2, 1, 2,Not_Found,Not_Found,"8,899", Single Family, No,2000,Not_Found,79.74," $7,725"," $585,000"
3,"20 Double K Rd, Brentwood, CA 94513",Brentwood,94513,CA,4,1199000,Century 21 RE Alliance,Not_Found,Not_Found,https://www.zillow.com/homedetails/20-Double-K-Rd-Brentwood-CA-94513/95440233_zpid/,"2,833",4, 4,Not_Found, 4, 2,Not_Found,1.35, Single Family, No,2018,Not_Found,Not_Found," $1,600"," $110,000"
4,"183 Honeygold Ln, Brentwood, CA 94513",Brentwood,94513,CA,2,555000,CAL BAY REALTY, $95/mo,555397,https://www.zillow.com/homedetails/183-Honeygold-Ln-Brentwood-CA-94513/18286080_zpid/,"1,940",3, 2, 1, 2, Two Story,Not_Found,"6,490", Single Family, No,1996,Not_Found,83.74," $4,861"," $394,839"
5,"305 Bougainvilla Dr, Brentwood, CA 94513",Brentwood,94513,CA,3,649950,Corcoran Global Living,Not_Found,654616,https://www.zillow.com/homedetails/305-Bougainvilla-Dr-Brentwood-CA-94513/166114039_zpid/,"2,338",3, 2, 1, 2,Not_Found,Not_Found,"4,098", Single Family, No,2016,Not_Found,82.94," $9,560"," $550,872"
6,"Buildable plan Plan One, Harper Parc, Brentwood, CA 94513",Brentwood,94513,CA,4,648000,Nuvera Homes,Not_Found,Not_Found,https://www.zillow.com/community/harper-parc/2087692406_zpid/,"2,536",3, 2, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
7,"2300 Reserve Dr, Brentwood, CA 94513",Brentwood,94513,CA,3,1995000,Keller Williams Tri-Valley, $191/mo,1995013,https://www.zillow.com/homedetails/2300-Reserve-Dr-Brentwood-CA-94513/121999757_zpid/,"4,131",4, 3, 1, 3, One Story,Not_Found,0.54, Single Family, No,2016,Not_Found,Not_Found," $21,405"," $1,634,884"
8,"130 Gala Ln, Brentwood, CA 94513",Brentwood,94513,CA,2,529500,MARPLES & ASSOCIATES, $83/mo,529503,https://www.zillow.com/homedetails/130-Gala-Ln-Brentwood-CA-94513/18286330_zpid/,"1,750",2, 2,Not_Found, 2,Not_Found,Not_Found,"6,499", Single Family, No,1999,Not_Found,78.14," $2,026"," $140,622"
9,"703 Iris Ct, Brentwood, CA 94513",Brentwood,94513,CA,5,849000,"Faze One Real Estate, Inc",Not_Found,782719,https://www.zillow.com/homedetails/703-Iris-Ct-Brentwood-CA-94513/59397717_zpid/,"3,724",3, 3,Not_Found, 0, 2, Yes,"7,405", Single Family, No,2003,Not_Found,88.54," $3,837"," $196,077"
10,"1800 Mariposa Way, Brentwood, CA 94513",Brentwood,94513,CA,2,639900,Corcoran Global Living, $115/mo,576731,https://www.zillow.com/homedetails/1800-Mariposa-Way-Brentwood-CA-94513/18280745_zpid/,"2,165",3, 2, 1, 2,Not_Found,Not_Found,"8,062", Single Family, No,1998,Not_Found,75.74," $5,299"," $385,983"
11,"Buildable plan The Alessandra, Palermo, Brentwood, CA 94513",Brentwood,94513,CA,4,565950,Meritage Homes,Not_Found,Not_Found,https://www.zillow.com/community/palermo/2083709865_zpid/,"1,910",2, 2,Not_Found, 2, 1,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
12,"1050 Woodside Dr, Brentwood, CA 94513",Brentwood,94513,CA,3,880000,Keller Williams Realty,Not_Found,880008,https://www.zillow.com/homedetails/1050-Woodside-Dr-Brentwood-CA-94513/18281541_zpid/,"1,800",2, 2,Not_Found, 2, One Story,Not_Found,1.07, Single Family, No,1974,Not_Found,80.54, $917," $70,043"
13,"61 Minnesota Ave, Brentwood, CA 94513",Brentwood,94513,CA,4,899999,GLIEDEN HOME & LAND CO.,Not_Found,900001,https://www.zillow.com/homedetails/61-Minnesota-Ave-Brentwood-CA-94513/50915632_zpid/,"2,218",3, 2, 1, 0,Not_Found,Not_Found,1.07, Single Family, No,1973,Not_Found,80.54," $4,730"," $402,581"
14,"185 Eagle Ln, Brentwood, CA 94513",Brentwood,94513,CA,3,1499000,KELLER WILLIAMS,Not_Found,1500151,https://www.zillow.com/homedetails/185-Eagle-Ln-Brentwood-CA-94513/18283274_zpid/,"2,508",3, 2, 1, 4,Not_Found,Not_Found,5, Single Family, No,1992,Not_Found,88.54," $5,301"," $482,689"
15,"Buildable plan The Sofia, Palermo, Brentwood, CA 94513",Brentwood,94513,CA,5,608950,Meritage Homes,Not_Found,Not_Found,https://www.zillow.com/community/palermo/2088909617_zpid/,"2,715",3, 3,Not_Found, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
16,"1650 Jonathan Ter, Brentwood, CA 94513",Brentwood,94513,CA,4,1195000,NextHome Town & Country, $289/mo,1195004,https://www.zillow.com/homedetails/1650-Jonathan-Ter-Brentwood-CA-94513/18285806_zpid/,"3,433",4, 4,Not_Found, 4, 2,Not_Found,0.30, Single Family, No,2001,Not_Found,75.74," $9,601"," $808,217"
17,"2325 Indian Springs Dr, Brentwood, CA 94513",Brentwood,94513,CA,5,795000,Millennium Realty,Not_Found,795395,https://www.zillow.com/homedetails/2325-Indian-Springs-Dr-Brentwood-CA-94513/68037885_zpid/,"3,364",3, 3,Not_Found, 3, 2,Not_Found,"9,543", Single Family, No,2005," Water Connected, Phone Connected, Sewer Connected, Electricity Connected, Natural Gas Connected, Cable Connected",76.54," $8,616"," $470,988"
18,"2295 Reserve Dr, Brentwood, CA 94513",Brentwood,94513,CA,4,1590000,Home Buyers Realty, $191/mo,1590006,https://www.zillow.com/homedetails/2295-Reserve-Dr-Brentwood-CA-94513/122000147_zpid/,"4,131",4, 3, 1, 3, 1,Not_Found,0.38, Single Family, No,2016,Not_Found,85.31," $17,700"," $1,311,717"
19,"436 Clarksburg Pl, Brentwood, CA 94513",Brentwood,94513,CA,4,874000,J. Rockcliff Realtors Inc.,Not_Found,874005,https://www.zillow.com/homedetails/436-Clarksburg-Pl-Brentwood-CA-94513/122007310_zpid/,"2,959",3, 3,Not_Found, 3, One Story,Not_Found,0.26, Single Family, No,2014, All Public,80.54," $9,983"," $692,219"
20,"1721 Latour Ave, Brentwood, CA 94513",Brentwood,94513,CA,2,1175000,JDK & ASSOCIATES REALTY INC, $346/mo,1166571,https://www.zillow.com/homedetails/1721-Latour-Ave-Brentwood-CA-94513/82852762_zpid/,"2,721",3, 2, 1, 3, 1,Not_Found,"9,112", Single Family, No,2007,Not_Found,83.74," $12,329"," $833,985"
21,"1870 Jubilee Dr, Brentwood, CA 94513",Brentwood,94513,CA,2,639000,Altas Realty, $95/mo,639424,https://www.zillow.com/homedetails/1870-Jubilee-Dr-Brentwood-CA-94513/18286896_zpid/,"1,940",3, 2, 1, 2, One Story,Not_Found,"5,863", Single Family, No,1998,Not_Found,79.74," $7,351"," $612,000"
22,"1640 Lone Oak Rd, Brentwood, CA 94513",Brentwood,94513,CA,5,1199000,Shea Homes-Trilogy,Not_Found,1199002,https://www.zillow.com/homedetails/1640-Lone-Oak-Rd-Brentwood-CA-94513/18283437_zpid/,"1,898",0,Not_Found,Not_Found, 2, 1, Yes,3.70, Single Family, No,1973," Gas - On Site, Public Utilities, Electricity - On Site",81.34," $6,237"," $534,033"
23,"Buildable plan Muros with Loft, Barcelona, Brentwood, CA 94513",Brentwood,94513,CA,4,534990,Discovery Realty Inc.,Not_Found,Not_Found,https://www.zillow.com/community/barcelona/2084312581_zpid/,"1,989",3, 3,Not_Found, 2,Not_Found,Not_Found,Not_Found, Townhouse, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
24,"40 Letty Ln, Brentwood, CA 94513",Brentwood,94513,CA,5,1413000,J. Rockcliff Realtors Inc.,Not_Found,1413010,https://www.zillow.com/homedetails/40-Letty-Ln-Brentwood-CA-94513/301029062_zpid/,"3,842",5, 4, 1, 3, Two Story,Not_Found,0.27, Single Family, No,2019,Not_Found,Not_Found," $5,019"," $152,677"
25,"1120 Medoc Ct, Brentwood, CA 94513",Brentwood,94513,CA,3,846356,REALTY ONE GROUP ELITE, $346/mo,846361,https://www.zillow.com/homedetails/1120-Medoc-Ct-Brentwood-CA-94513/82786789_zpid/,"2,338",3, 2, 1, 2, One Story,Not_Found,"9,940", Single Family, No,2007,Not_Found,77.34," $10,311"," $658,003"
26,"1036 Blue Bird Ln, Brentwood, CA 94513",Brentwood,94513,CA,4,998800,Horizon Manufactured Homes INC,Not_Found,998806,https://www.zillow.com/homedetails/1036-Blue-Bird-Ln-Brentwood-CA-94513/68037715_zpid/,"3,962",4, 3, 1, 3,Not_Found,Not_Found,"10,092", Single Family, No,2005,Not_Found,81.34," $9,246"," $516,821"
27,"16711 Marsh Creek Rd TRAILER 69, Clayton, CA 94517",Clayton,94517,CA,3,165000,"DELTA RANCHES & HOMES, INC.",Not_Found,162628,https://www.zillow.com/homedetails/16711-Marsh-Creek-Rd-TRAILER-69-Clayton-CA-94517/18552258_zpid/,"1,300",2, 2,Not_Found, 0,Not_Found,Not_Found,Not_Found, Mobile / Manufactured, No,2000,Not_Found,Not_Found, $317," $28,700"
